dataset,test_auroc_correct,test_auprc_failure,test_risk_at_80,test_aurc,dataset_label
arc_challenge,-0.04325949649247518,-0.023898033249711126,5.782411586589357e-18,0.005958813001132237,ARC-Challenge
commonsenseqa,-0.01743561280217985,-0.012188513833186735,0.004999999999999993,0.009643498754883888,CommonsenseQA
hellaswag,-0.0019514730466906882,-0.012515689486105394,-0.0006249999999999983,-0.00033139862329467293,HellaSwag
mmlu,-0.00493227578025592,-0.0009936330614001565,0.0022916666666666593,0.0030665790624007003,MMLU
