metric,mean_delta,ci_low,ci_high,lodo_min,lodo_max,lomo_min,lomo_max,n_models,n_datasets,n_conditions,bootstrap_reps
test_auroc_correct,-0.04743594110538228,-0.12011501420520407,-0.007314312906755355,-0.05688553765244284,-0.0337245628879845,-0.08112511521530508,-0.013746766995459486,2,4,8,50000
test_auprc_failure,-0.013802814536085548,-0.044873765018720674,0.011673628010948178,-0.020453495639091657,-0.007043708876616224,-0.024329684825178804,-0.0032759442469922906,2,4,8,50000
test_risk_at_80,0.0034374999999999996,-0.012708333333333328,0.013645833333333333,0.0008333333333333318,0.006666666666666665,-0.0026041666666666644,0.009479166666666664,2,4,8,50000
test_aurc,0.02260005676232681,0.010010374039887308,0.03890214353341673,0.018047962252144,0.02518184056258069,0.014832359405238098,0.030367754119415523,2,4,8,50000
test_failure_recall_at_20_abstain,-0.021100566100566105,-0.10002164502164501,0.05275641025641026,-0.024590964590964593,-0.014611499611499592,-0.06002164502164503,0.01782051282051282,2,4,8,50000
