metric,n,positive,zero,negative,mean,median
test_auroc_correct,40,6,0,34,-0.047435941105382295,-0.020918136589778424
test_auprc_failure,40,15,0,25,-0.013802814536085594,-0.007294876419852714
test_risk_at_80,40,22,6,12,0.003437500000000003,0.0062500000000000056
test_aurc,40,36,0,4,0.022600056762326813,0.018368777164676955
test_failure_recall_at_20_abstain,40,12,6,22,-0.021100566100566105,-0.012820512820512803
