model,dataset,confidence_option__test_auroc_correct,cheap_plus_hidden_pca__test_auroc_correct,hidden_pca__test_auroc_correct,delta_combined_minus_output__test_auroc_correct,confidence_option__test_auprc_failure,cheap_plus_hidden_pca__test_auprc_failure,hidden_pca__test_auprc_failure,delta_combined_minus_output__test_auprc_failure,confidence_option__test_risk_at_80,cheap_plus_hidden_pca__test_risk_at_80,hidden_pca__test_risk_at_80,delta_combined_minus_output__test_risk_at_80,confidence_option__test_aurc,cheap_plus_hidden_pca__test_aurc,hidden_pca__test_aurc,delta_combined_minus_output__test_aurc,confidence_option__test_failure_recall_at_20_abstain,cheap_plus_hidden_pca__test_failure_recall_at_20_abstain,hidden_pca__test_failure_recall_at_20_abstain,delta_combined_minus_output__test_failure_recall_at_20_abstain
gemma2_9b_it,arc_challenge,0.8727272727272727,0.6945454545454546,0.5621818181818181,-0.1781818181818181,0.41711391223155925,0.356469080889257,0.1908083959841249,-0.06064483134230225,0.033333333333333284,0.04999999999999996,0.0708333333333333,0.016666666666666677,0.015043685111491619,0.04789726119809282,0.07095615125201256,0.03285357608660121,0.6799999999999999,0.52,0.32,-0.15999999999999992
gemma2_9b_it,commonsenseqa,0.818625678119349,0.7326702833031946,0.5537070524412296,-0.08595539481615444,0.5621082651394257,0.51770728666597,0.25549452956222635,-0.0444009784734557,0.11625,0.1325,0.20375000000000001,0.01625,0.07171177466249594,0.12271398383291862,0.1772698424153766,0.05100220917042268,0.5571428571428572,0.49523809523809514,0.22380952380952376,-0.06190476190476202
gemma2_9b_it,hellaswag,0.7858100233100233,0.7476689976689976,0.5673368298368298,-0.03814102564102562,0.5277635504330757,0.5139591315162532,0.2830559644440616,-0.013804418916822492,0.14125000000000001,0.14625,0.20375000000000001,0.004999999999999977,0.0907520423308317,0.11150262203705205,0.18912360032242126,0.02075057970622035,0.48636363636363633,0.46818181818181814,0.2590909090909091,-0.018181818181818188
gemma2_9b_it,mmlu,0.8529934043632673,0.8307711821410452,0.7687214611872146,-0.022222222222222143,0.6411252513803231,0.6626567408121883,0.5868309746623019,0.021531489431865225,0.17124999999999999,0.17124999999999999,0.17875000000000002,0.0,0.08490800446793918,0.10177265598235703,0.1316727300231927,0.01686465151441785,0.4925925925925926,0.4925925925925926,0.4703703703703703,0.0
llama31_8b_instruct,arc_challenge,0.845486111111111,0.8465277777777779,0.5475694444444444,0.0010416666666668295,0.5422791109829349,0.5783181154591654,0.2946622736777873,0.03603900447623054,0.12916666666666665,0.09999999999999998,0.1833333333333333,-0.029166666666666674,0.05869309654840384,0.06153622931615832,0.17384745587844272,0.0028431327677544763,0.4833333333333333,0.6,0.26666666666666666,0.1166666666666667
llama31_8b_instruct,commonsenseqa,0.7886174636174637,0.763929313929314,0.6227650727650728,-0.024688149688149696,0.5625784221771853,0.538819137621654,0.37280587768499757,-0.023759284555531335,0.18,0.18625,0.23125,0.0062500000000000056,0.10371768252091076,0.12522815393623857,0.21193309053958162,0.021510471415327803,0.4461538461538462,0.4269230769230769,0.28846153846153844,-0.019230769230769273
llama31_8b_instruct,hellaswag,0.7696408246258993,0.7542523203717233,0.5209351300993091,-0.015388504254176039,0.6001837686136828,0.5840333035910141,0.36457056718569164,-0.016150465022668703,0.25625,0.2575,0.325,0.0012500000000000289,0.16069156370917362,0.18282263793833126,0.3116342140871562,0.022131074229157638,0.377016317016317,0.3739393939393939,0.2098834498834498,-0.003076923076923088
llama31_8b_instruct,mmlu,0.8166876839007987,0.8007356031946197,0.6907734342160572,-0.01595208070617904,0.6791560506724739,0.6699230187864742,0.5976520454450075,-0.009233031885999665,0.3075,0.31875,0.3275,0.011249999999999982,0.16714068570570165,0.17998544491441412,0.2736083250195083,0.012844759208712475,0.3692307692307692,0.34615384615384615,0.3282051282051282,-0.02307692307692305
