model,dataset,split,base_accuracy,family,probe,AUROC,AUPRC,Brier,ECE,AURC,E_AURC,risk_at_80cov,acc_at_80cov,risk_at_60cov,acc_at_60cov,risk_at_40cov,acc_at_40cov,failure_capture_at_20abst
gemma2_9b_it,arc_challenge,0,0.919732441471572,cheap_conf_option,extratrees,0.8674698795180723,0.9874872767085027,0.08634892185795391,0.10471088922911118,0.014962191856223954,0.011857550665800593,0.02777777777777779,0.9722222222222222,0.0,1.0,0.0,1.0,0.7142857142857143
gemma2_9b_it,arc_challenge,0,0.919732441471572,hidden_summaries,logreg,0.7969018932874354,0.9791876816644978,0.16591590530919045,0.2036810841692143,0.0228981665640105,0.01979352537358714,0.04166666666666663,0.9583333333333334,0.03703703703703709,0.9629629629629629,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,0,0.919732441471572,cheap_plus_summaries,hgb,0.8846815834767642,0.9897115304924976,0.06685887405832634,0.07905007232627785,0.012876708504249525,0.009772067313826164,0.02777777777777779,0.9722222222222222,0.0,1.0,0.0,1.0,0.7142857142857143
gemma2_9b_it,arc_challenge,0,0.919732441471572,pca_hidden,extratrees,0.846815834767642,0.9857132902869998,0.06410212750534106,0.05740000737489727,0.016698251304970765,0.013593610114547404,0.04166666666666663,0.9583333333333334,0.0,1.0,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,0,0.919732441471572,cheap_plus_pca_hidden,extratrees,0.8433734939759037,0.9853152568277659,0.06289486093594893,0.06676990356647537,0.017079545866107656,0.013974904675684295,0.04166666666666663,0.9583333333333334,0.0,1.0,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,0,0.919732441471572,contrastive_hidden,supcon_mlp,0.7641996557659209,0.9740307419531208,0.06456691774766488,0.02129085659980772,0.02780672128748853,0.02470208009706517,0.05555555555555558,0.9444444444444444,0.03703703703703709,0.9629629629629629,0.02777777777777779,0.9722222222222222,0.42857142857142855
gemma2_9b_it,arc_challenge,0,0.919732441471572,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8399311531841652,0.9836092825753191,0.07677460958575079,0.07611120836429497,0.018636347063231515,0.015531705872808154,0.02777777777777779,0.9722222222222222,0.01851851851851849,0.9814814814814815,0.0,1.0,0.7142857142857143
gemma2_9b_it,arc_challenge,1,0.919732441471572,cheap_conf_option,extratrees,0.9259896729776248,0.9932895798943441,0.05596050183187451,0.08239776696590174,0.00943268591653289,0.006328044726109528,0.01388888888888884,0.9861111111111112,0.0,1.0,0.0,1.0,0.8571428571428571
gemma2_9b_it,arc_challenge,1,0.919732441471572,hidden_summaries,extratrees,0.7469879518072289,0.9717703224697496,0.07787485709190929,0.07996202093085628,0.030072006049329796,0.026967364858906433,0.06944444444444442,0.9305555555555556,0.01851851851851849,0.9814814814814815,0.02777777777777779,0.9722222222222222,0.2857142857142857
gemma2_9b_it,arc_challenge,1,0.919732441471572,cheap_plus_summaries,mlp,0.9483648881239242,0.9955997839876471,0.050447281721289955,0.05346799592177078,0.007270353762529607,0.004165712572106246,0.01388888888888884,0.9861111111111112,0.0,1.0,0.0,1.0,0.8571428571428571
gemma2_9b_it,arc_challenge,1,0.919732441471572,pca_hidden,hgb,0.929432013769363,0.9941038308781256,0.07848655179555974,0.08013127707280998,0.008729335510791027,0.005624694320367666,0.01388888888888884,0.9861111111111112,0.0,1.0,0.0,1.0,0.8571428571428571
gemma2_9b_it,arc_challenge,1,0.919732441471572,cheap_plus_pca_hidden,mlp,0.9432013769363167,0.9952705540983138,0.05684257702605229,0.05196558201374251,0.007608114263687624,0.004503473073264263,0.01388888888888884,0.9861111111111112,0.0,1.0,0.0,1.0,0.8571428571428571
gemma2_9b_it,arc_challenge,1,0.919732441471572,contrastive_hidden,supcon_mlp,0.8141135972461273,0.9797090194396909,0.06566698768149874,0.032387038403087175,0.022361432642834016,0.019256791452410653,0.02777777777777779,0.9722222222222222,0.03703703703703709,0.9629629629629629,0.02777777777777779,0.9722222222222222,0.7142857142857143
gemma2_9b_it,arc_challenge,1,0.919732441471572,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.9259896729776247,0.9936031706728216,0.08797400416923716,0.0876174683610404,0.009172779342548712,0.006068138152125351,0.01388888888888884,0.9861111111111112,0.0,1.0,0.0,1.0,0.8571428571428571
gemma2_9b_it,arc_challenge,2,0.919732441471572,cheap_conf_option,mlp,0.8450946643717728,0.984482102853938,0.05451174685250907,0.06056720872359589,0.017798562559742426,0.014693921369319065,0.04166666666666663,0.9583333333333334,0.01851851851851849,0.9814814814814815,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,2,0.919732441471572,hidden_summaries,logreg,0.865748709122203,0.9883689654105596,0.11073317035521398,0.1635991312134264,0.014227764279132795,0.011123123088709434,0.04166666666666663,0.9583333333333334,0.0,1.0,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,2,0.919732441471572,cheap_plus_summaries,logreg,0.8605851979345954,0.9863009933023209,0.10146830412394767,0.10902866557792411,0.016068284868231066,0.012963643677807704,0.02777777777777779,0.9722222222222222,0.01851851851851849,0.9814814814814815,0.0,1.0,0.7142857142857143
gemma2_9b_it,arc_challenge,2,0.919732441471572,pca_hidden,hgb,0.783132530120482,0.9776257509649979,0.07003638468378882,0.0695755656190839,0.024432350506868327,0.021327709316444968,0.04166666666666663,0.9583333333333334,0.05555555555555558,0.9444444444444444,0.0,1.0,0.5714285714285714
gemma2_9b_it,arc_challenge,2,0.919732441471572,cheap_plus_pca_hidden,hgb,0.864027538726334,0.9877876543515327,0.06492602697913034,0.07003001672174838,0.01473593755332011,0.011631296362896748,0.05555555555555558,0.9444444444444444,0.0,1.0,0.0,1.0,0.42857142857142855
gemma2_9b_it,arc_challenge,2,0.919732441471572,contrastive_hidden,supcon_mlp,0.6092943201376937,0.948711472433384,0.0707662180774819,0.04877902931637233,0.05255687162791978,0.049452230437496414,0.06944444444444442,0.9305555555555556,0.05555555555555558,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.2857142857142857
gemma2_9b_it,arc_challenge,2,0.919732441471572,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.6901893287435457,0.9660385418896946,0.0753855323408061,0.07502688576098027,0.03562380038482545,0.03251915919440209,0.05555555555555558,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.02777777777777779,0.9722222222222222,0.42857142857142855
gemma2_9b_it,arc_challenge,3,0.919732441471572,cheap_conf_option,extratrees,0.9672977624784853,0.9973311310204092,0.05058884299445636,0.08954203544653092,0.00564598774613503,0.0025413465557116693,0.0,1.0,0.0,1.0,0.0,1.0,1.0
