model,dataset,split,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
gemma2_9b_it,commonsenseqa,4,8,0.779251222289197,0.7817962628089211,0.002545040519724151,0.37083539366722107
gemma2_9b_it,commonsenseqa,4,16,0.779251222289197,0.7835376063224164,0.004286384033219459,0.49383747577667236
gemma2_9b_it,commonsenseqa,4,32,0.779251222289197,0.7557430848570089,-0.023508137432188048,0.6023972630500793
gemma2_9b_it,commonsenseqa,4,64,0.779251222289197,0.7144196637867524,-0.0648315585024446,0.702713668346405
gemma2_9b_it,commonsenseqa,4,128,0.779251222289197,0.652200120554551,-0.12705110173464595,0.799949049949646
gemma2_9b_it,commonsenseqa,4,256,0.779251222289197,0.6814680865313777,-0.09778313575781927,0.893822968006134
gemma2_9b_it,hellaswag,0,8,0.7841232841232842,0.7856772856772857,0.0015540015540014274,0.4385318160057068
gemma2_9b_it,hellaswag,0,16,0.7841232841232842,0.7770007770007771,-0.007122507122507171,0.5461905598640442
gemma2_9b_it,hellaswag,0,32,0.7841232841232842,0.7458559958559958,-0.038267288267288424,0.6486703157424927
gemma2_9b_it,hellaswag,0,64,0.7841232841232842,0.7286324786324786,-0.05549080549080565,0.74721360206604
gemma2_9b_it,hellaswag,0,128,0.7841232841232842,0.712056462056462,-0.07206682206682224,0.8382247686386108
gemma2_9b_it,hellaswag,0,256,0.7841232841232842,0.6954156954156955,-0.08870758870758877,0.9183090925216675
gemma2_9b_it,hellaswag,1,8,0.7683242683242684,0.7743460243460244,0.006021756021756031,0.4364592730998993
gemma2_9b_it,hellaswag,1,16,0.7683242683242684,0.7689717689717691,0.0006475006475007428,0.5460205078125
gemma2_9b_it,hellaswag,1,32,0.7683242683242684,0.7476689976689976,-0.02065527065527073,0.650946855545044
gemma2_9b_it,hellaswag,1,64,0.7683242683242684,0.7345247345247345,-0.03379953379953382,0.7492207288742065
gemma2_9b_it,hellaswag,1,128,0.7683242683242684,0.7375679875679876,-0.030756280756280785,0.839630126953125
gemma2_9b_it,hellaswag,1,256,0.7683242683242684,0.7024087024087025,-0.06591556591556591,0.918857753276825
gemma2_9b_it,hellaswag,2,8,0.787037037037037,0.8023828023828025,0.015345765345765483,0.43398988246917725
gemma2_9b_it,hellaswag,2,16,0.787037037037037,0.8111888111888111,0.024151774151774164,0.5439221858978271
gemma2_9b_it,hellaswag,2,32,0.787037037037037,0.8064620564620564,0.019425019425019396,0.6490340828895569
gemma2_9b_it,hellaswag,2,64,0.787037037037037,0.7875550375550376,0.0005180005180006608,0.747727632522583
gemma2_9b_it,hellaswag,2,128,0.787037037037037,0.759000259000259,-0.028036778036777954,0.8385465741157532
gemma2_9b_it,hellaswag,2,256,0.787037037037037,0.7325822325822325,-0.05445480445480444,0.9181841015815735
gemma2_9b_it,hellaswag,3,8,0.8054908054908055,0.8077570577570578,0.002266252266252211,0.4360113739967346
gemma2_9b_it,hellaswag,3,16,0.8054908054908055,0.7913752913752914,-0.01411551411551415,0.5468138456344604
gemma2_9b_it,hellaswag,3,32,0.8054908054908055,0.8038073038073038,-0.0016835016835017313,0.650691568851471
gemma2_9b_it,hellaswag,3,64,0.8054908054908055,0.7834757834757835,-0.022015022015022034,0.7486563920974731
gemma2_9b_it,hellaswag,3,128,0.8054908054908055,0.7635975135975136,-0.04189329189329194,0.8391913771629333
gemma2_9b_it,hellaswag,3,256,0.8054908054908055,0.6919191919191919,-0.1135716135716136,0.9187818765640259
gemma2_9b_it,hellaswag,4,8,0.7764180264180264,0.773957523957524,-0.002460502460502334,0.43548452854156494
gemma2_9b_it,hellaswag,4,16,0.7764180264180264,0.7746050246050247,-0.0018130018130017023,0.544471800327301
gemma2_9b_it,hellaswag,4,32,0.7764180264180264,0.7702020202020201,-0.006216006216006265,0.6476693153381348
gemma2_9b_it,hellaswag,4,64,0.7764180264180264,0.7522015022015022,-0.024216524216524205,0.7465363144874573
gemma2_9b_it,hellaswag,4,128,0.7764180264180264,0.7685185185185185,-0.007899507899507885,0.8381096124649048
gemma2_9b_it,hellaswag,4,256,0.7764180264180264,0.702926702926703,-0.07349132349132337,0.9180670380592346
gemma2_9b_it,mmlu,0,8,0.8788319534571493,0.8905236070709331,0.011691653613783881,0.4372227191925049
gemma2_9b_it,mmlu,0,16,0.8788319534571493,0.8899641978071157,0.011132244349966403,0.5509533882141113
gemma2_9b_it,mmlu,0,32,0.8788319534571493,0.8867196240769747,0.007887670619825426,0.6443889737129211
gemma2_9b_it,mmlu,0,64,0.8788319534571493,0.8617699709107184,-0.017061982546430876,0.7329206466674805
gemma2_9b_it,mmlu,0,128,0.8788319534571493,0.8491273215484448,-0.029704631908704426,0.8197159767150879
gemma2_9b_it,mmlu,0,256,0.8788319534571493,0.8350302081002461,-0.04380174535690318,0.9054742455482483
gemma2_9b_it,mmlu,1,8,0.8786081897516222,0.8984672186171403,0.019859028865518047,0.4370838701725006
gemma2_9b_it,mmlu,1,16,0.8786081897516222,0.8969008726784514,0.018292682926829174,0.5504368543624878
gemma2_9b_it,mmlu,1,32,0.8786081897516222,0.8968449317520697,0.018236742000447448,0.6443078517913818
gemma2_9b_it,mmlu,1,64,0.8786081897516222,0.8856008055493398,0.006992615797717594,0.7330736517906189
gemma2_9b_it,mmlu,1,128,0.8786081897516222,0.8795032445737301,0.0008950548221078325,0.8199729919433594
gemma2_9b_it,mmlu,1,256,0.8786081897516222,0.8630006712911167,-0.015607518460505565,0.9057241082191467
gemma2_9b_it,mmlu,2,8,0.8594204520026851,0.8560080554933991,-0.003412396509286042,0.4429703950881958
gemma2_9b_it,mmlu,2,16,0.8594204520026851,0.8520362497202953,-0.007384202282389785,0.5561237335205078
gemma2_9b_it,mmlu,2,32,0.8594204520026851,0.8650704855672411,0.005650033564555956,0.646530032157898
gemma2_9b_it,mmlu,2,64,0.8594204520026851,0.8448198702170509,-0.014600581785634281,0.73497474193573
gemma2_9b_it,mmlu,2,128,0.8594204520026851,0.7885992392034012,-0.07082121279928388,0.8206756711006165
gemma2_9b_it,mmlu,2,256,0.8594204520026851,0.7817744461848287,-0.07764600581785641,0.905753493309021
gemma2_9b_it,mmlu,3,8,0.8353658536585366,0.8567912284627432,0.021425374804206698,0.4389302134513855
gemma2_9b_it,mmlu,3,16,0.8353658536585366,0.8396733049899306,0.0043074513313940965,0.5521206855773926
gemma2_9b_it,mmlu,3,32,0.8353658536585366,0.8333519803087939,-0.0020138733497426786,0.6458402276039124
gemma2_9b_it,mmlu,3,64,0.8353658536585366,0.8419109420452003,0.006545088386663789,0.7339142560958862
gemma2_9b_it,mmlu,3,128,0.8353658536585366,0.8397292459163124,0.004363392257775822,0.8199549317359924
gemma2_9b_it,mmlu,3,256,0.8353658536585366,0.8369321995972253,0.0015663459386887624,0.9057012796401978
gemma2_9b_it,mmlu,4,8,0.8704967554262699,0.8770977847393152,0.006601029313045292,0.4348856210708618
gemma2_9b_it,mmlu,4,16,0.8704967554262699,0.8750279704631909,0.004531215036920999,0.5504577159881592
gemma2_9b_it,mmlu,4,32,0.8704967554262699,0.8678675318863281,-0.002629223539941772,0.6433719396591187
gemma2_9b_it,mmlu,4,64,0.8704967554262699,0.8473931528306109,-0.023103602595659023,0.7311407923698425
gemma2_9b_it,mmlu,4,128,0.8704967554262699,0.8286529424927278,-0.04184381293354211,0.8182229995727539
gemma2_9b_it,mmlu,4,256,0.8704967554262699,0.7889348847616916,-0.08156187066457832,0.9043336510658264
llama31_8b_instruct,arc_challenge,0,8,0.8966049382716049,0.8966049382716048,-1.1102230246251565e-16,0.3991806209087372
llama31_8b_instruct,arc_challenge,0,16,0.8966049382716049,0.8688271604938271,-0.02777777777777779,0.541615903377533
llama31_8b_instruct,arc_challenge,0,32,0.8966049382716049,0.8526234567901234,-0.04398148148148151,0.6796625852584839
llama31_8b_instruct,arc_challenge,0,64,0.8966049382716049,0.8541666666666666,-0.042438271604938294,0.8130586743354797
llama31_8b_instruct,arc_challenge,0,128,0.8966049382716049,0.8209876543209876,-0.07561728395061729,0.9341884851455688
llama31_8b_instruct,arc_challenge,0,256,0.8966049382716049,0.8472222222222223,-0.0493827160493826,0.9995515942573547
llama31_8b_instruct,arc_challenge,1,8,0.9020061728395062,0.8989197530864199,-0.0030864197530863224,0.4066917896270752
llama31_8b_instruct,arc_challenge,1,16,0.9020061728395062,0.8634259259259259,-0.03858024691358031,0.5508411526679993
llama31_8b_instruct,arc_challenge,1,32,0.9020061728395062,0.871141975308642,-0.030864197530864224,0.6829408407211304
llama31_8b_instruct,arc_challenge,1,64,0.9020061728395062,0.8279320987654321,-0.07407407407407418,0.8140670657157898
llama31_8b_instruct,arc_challenge,1,128,0.9020061728395062,0.8155864197530863,-0.08641975308641991,0.9338786602020264
llama31_8b_instruct,arc_challenge,1,256,0.9020061728395062,0.7885802469135803,-0.11342592592592593,0.9995589256286621
llama31_8b_instruct,arc_challenge,2,8,0.8132716049382716,0.7847222222222223,-0.028549382716049232,0.4018295407295227
llama31_8b_instruct,arc_challenge,2,16,0.8132716049382716,0.7785493827160495,-0.0347222222222221,0.5420856475830078
llama31_8b_instruct,arc_challenge,2,32,0.8132716049382716,0.7669753086419754,-0.04629629629629617,0.6769183874130249
llama31_8b_instruct,arc_challenge,2,64,0.8132716049382716,0.7885802469135802,-0.024691358024691357,0.8101540803909302
llama31_8b_instruct,arc_challenge,2,128,0.8132716049382716,0.763888888888889,-0.0493827160493826,0.9327213764190674
llama31_8b_instruct,arc_challenge,2,256,0.8132716049382716,0.7716049382716049,-0.04166666666666663,0.9995471835136414
llama31_8b_instruct,arc_challenge,3,8,0.8256172839506173,0.7746913580246914,-0.05092592592592593,0.40943652391433716
llama31_8b_instruct,arc_challenge,3,16,0.8256172839506173,0.779320987654321,-0.04629629629629628,0.5514287352561951
llama31_8b_instruct,arc_challenge,3,32,0.8256172839506173,0.7708333333333334,-0.054783950617283916,0.6829550862312317
llama31_8b_instruct,arc_challenge,3,64,0.8256172839506173,0.8125,-0.013117283950617287,0.8141129016876221
