model,dataset,split,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
gemma2_9b_it,arc_challenge,0,early,0.8623063683304647,0.576592082616179,0.7418244406196213,-0.12048192771084343
gemma2_9b_it,arc_challenge,0,middle,0.8623063683304647,0.7108433734939759,0.8003442340791739,-0.061962134251290824
gemma2_9b_it,arc_challenge,0,late,0.8623063683304647,0.7882960413080895,0.819277108433735,-0.04302925989672968
gemma2_9b_it,arc_challenge,0,final,0.8623063683304647,0.7263339070567987,0.7469879518072289,-0.11531841652323582
gemma2_9b_it,arc_challenge,0,all,0.8623063683304647,0.7590361445783133,0.76592082616179,-0.09638554216867468
gemma2_9b_it,arc_challenge,1,early,0.8967297762478486,0.657487091222031,0.8450946643717728,-0.05163511187607572
gemma2_9b_it,arc_challenge,1,middle,0.8967297762478486,0.7349397590361446,0.9500860585197933,0.05335628227194478
gemma2_9b_it,arc_challenge,1,late,0.8967297762478486,0.8278829604130808,0.8777969018932875,-0.018932874354561036
gemma2_9b_it,arc_challenge,1,final,0.8967297762478486,0.8743545611015491,0.8898450946643718,-0.0068846815834767705
gemma2_9b_it,arc_challenge,1,all,0.8967297762478486,0.9036144578313252,0.9242685025817555,0.02753872633390697
gemma2_9b_it,arc_challenge,2,early,0.8175559380378657,0.4561101549053357,0.7624784853700517,-0.05507745266781405
gemma2_9b_it,arc_challenge,2,middle,0.8175559380378657,0.5679862306368331,0.7659208261617899,-0.051635111876075834
gemma2_9b_it,arc_challenge,2,late,0.8175559380378657,0.6368330464716008,0.7280550774526678,-0.0895008605851979
gemma2_9b_it,arc_challenge,2,final,0.8175559380378657,0.6299483648881239,0.6815834767641996,-0.13597246127366613
gemma2_9b_it,arc_challenge,2,all,0.8175559380378657,0.7039586919104991,0.8106712564543891,-0.0068846815834766595
gemma2_9b_it,arc_challenge,3,early,0.9414802065404474,0.49569707401032703,0.8330464716006886,-0.10843373493975883
gemma2_9b_it,arc_challenge,3,middle,0.9414802065404474,0.6437177280550774,0.7848537005163512,-0.15662650602409622
gemma2_9b_it,arc_challenge,3,late,0.9414802065404474,0.7177280550774527,0.8227194492254732,-0.11876075731497415
gemma2_9b_it,arc_challenge,3,final,0.9414802065404474,0.8932874354561101,0.9311531841652324,-0.01032702237521499
gemma2_9b_it,arc_challenge,3,all,0.9414802065404474,0.7246127366609295,0.7986230636833046,-0.1428571428571428
gemma2_9b_it,arc_challenge,4,early,0.919104991394148,0.3493975903614458,0.6454388984509467,-0.2736660929432013
gemma2_9b_it,arc_challenge,4,middle,0.919104991394148,0.46815834767641995,0.7074010327022375,-0.2117039586919105
gemma2_9b_it,arc_challenge,4,late,0.919104991394148,0.7228915662650602,0.7383820998278829,-0.1807228915662651
gemma2_9b_it,arc_challenge,4,final,0.919104991394148,0.7280550774526678,0.7349397590361446,-0.18416523235800342
gemma2_9b_it,arc_challenge,4,all,0.919104991394148,0.5800344234079173,0.6901893287435455,-0.22891566265060248
gemma2_9b_it,commonsenseqa,0,early,0.8314245529435403,0.5373384234143728,0.7769740807715492,-0.05445047217199117
gemma2_9b_it,commonsenseqa,0,middle,0.8314245529435403,0.6249413970932958,0.7832027325698211,-0.04822182037371925
gemma2_9b_it,commonsenseqa,0,late,0.8314245529435403,0.7780456767798541,0.7850110508338356,-0.04641350210970474
gemma2_9b_it,commonsenseqa,0,final,0.8314245529435403,0.8209764918625679,0.8151496885674102,-0.016274864376130127
gemma2_9b_it,commonsenseqa,0,all,0.8314245529435403,0.7681334137030339,0.7724867724867726,-0.058937780456767785
gemma2_9b_it,commonsenseqa,1,early,0.7925122228919698,0.5526086665327172,0.7543366150961088,-0.03817560779586093
gemma2_9b_it,commonsenseqa,1,middle,0.7925122228919698,0.65086062554417,0.7779787020293351,-0.014533520862634708
gemma2_9b_it,commonsenseqa,1,late,0.7925122228919698,0.7933159198981984,0.7992096979438751,0.006697475051905322
gemma2_9b_it,commonsenseqa,1,final,0.7925122228919698,0.7700087067175675,0.7805237425490589,-0.01198848034291089
gemma2_9b_it,commonsenseqa,1,all,0.7925122228919698,0.7738262674971537,0.789163485366017,-0.003348737525952772
gemma2_9b_it,commonsenseqa,2,early,0.8426093362802224,0.5673431116469092,0.788024914607193,-0.05458442167302935
gemma2_9b_it,commonsenseqa,2,middle,0.8426093362802224,0.7018284106891702,0.8158864108231197,-0.026722925457102642
gemma2_9b_it,commonsenseqa,2,late,0.8426093362802224,0.8013528899604849,0.8162212845757151,-0.02638805170450731
gemma2_9b_it,commonsenseqa,2,final,0.8426093362802224,0.8379880784944076,0.82010582010582,-0.022503516174402383
gemma2_9b_it,commonsenseqa,2,all,0.8426093362802224,0.8001473444511419,0.8085861630165427,-0.03402317326367965
gemma2_9b_it,commonsenseqa,3,early,0.8160873350746769,0.6060545174469226,0.7961288594199987,-0.01995847565467823
gemma2_9b_it,commonsenseqa,3,middle,0.8160873350746769,0.6464402920099123,0.7880249146071931,-0.02806242046748375
gemma2_9b_it,commonsenseqa,3,late,0.8160873350746769,0.8259995981514969,0.8168910320809055,0.0008036970062286208
gemma2_9b_it,commonsenseqa,3,final,0.8160873350746769,0.8280758154175876,0.8109972540352288,-0.00509008103944808
gemma2_9b_it,commonsenseqa,3,all,0.8160873350746769,0.8214453151162012,0.8069787690040854,-0.009108566070591517
gemma2_9b_it,commonsenseqa,4,early,0.779251222289197,0.47612350143995713,0.7056459714687563,-0.07360525082044067
gemma2_9b_it,commonsenseqa,4,middle,0.779251222289197,0.6163016542763379,0.7367222557095975,-0.04252896657959948
gemma2_9b_it,commonsenseqa,4,late,0.779251222289197,0.7487777108030272,0.7604982921438618,-0.01875293014533519
gemma2_9b_it,commonsenseqa,4,final,0.779251222289197,0.736186457705445,0.7494474583082178,-0.02980376398097917
gemma2_9b_it,commonsenseqa,4,all,0.779251222289197,0.705244122965642,0.7144196637867524,-0.0648315585024446
gemma2_9b_it,hellaswag,0,early,0.7841232841232842,0.519036519036519,0.7285677285677287,-0.05555555555555558
gemma2_9b_it,hellaswag,0,middle,0.7841232841232842,0.6486013986013985,0.7277259777259778,-0.056397306397306446
gemma2_9b_it,hellaswag,0,late,0.7841232841232842,0.7661227661227662,0.7553095053095054,-0.02881377881377889
gemma2_9b_it,hellaswag,0,final,0.7841232841232842,0.7947422947422949,0.7923465423465426,0.008223258223258312
gemma2_9b_it,hellaswag,0,all,0.7841232841232842,0.7357549857549858,0.7286324786324786,-0.05549080549080565
gemma2_9b_it,hellaswag,1,early,0.7683242683242684,0.4792152292152293,0.6981999481999482,-0.07012432012432013
gemma2_9b_it,hellaswag,1,middle,0.7683242683242684,0.6502849002849005,0.7446257446257446,-0.023698523698523766
gemma2_9b_it,hellaswag,1,late,0.7683242683242684,0.7871665371665373,0.7884615384615385,0.02013727013727018
gemma2_9b_it,hellaswag,1,final,0.7683242683242684,0.7505180005180005,0.750906500906501,-0.01741776741776735
gemma2_9b_it,hellaswag,1,all,0.7683242683242684,0.7297332297332297,0.7345247345247345,-0.03379953379953382
gemma2_9b_it,hellaswag,2,early,0.787037037037037,0.538979538979539,0.7680652680652682,-0.018971768971768777
gemma2_9b_it,hellaswag,2,middle,0.787037037037037,0.7187257187257187,0.8253043253043253,0.03826728826728831
gemma2_9b_it,hellaswag,2,late,0.787037037037037,0.8104765604765606,0.7959077959077958,0.008870758870758833
gemma2_9b_it,hellaswag,2,final,0.787037037037037,0.7735042735042734,0.7706552706552707,-0.01638176638176625
gemma2_9b_it,hellaswag,2,all,0.787037037037037,0.7915695415695415,0.7875550375550376,0.0005180005180006608
gemma2_9b_it,hellaswag,3,early,0.8054908054908055,0.5387852887852889,0.7580937580937582,-0.04739704739704731
gemma2_9b_it,hellaswag,3,middle,0.8054908054908055,0.6639471639471639,0.793965293965294,-0.011525511525511511
gemma2_9b_it,hellaswag,3,late,0.8054908054908055,0.7813390313390315,0.798044548044548,-0.007446257446257487
gemma2_9b_it,hellaswag,3,final,0.8054908054908055,0.7905335405335404,0.7931882931882932,-0.012302512302512336
gemma2_9b_it,hellaswag,3,all,0.8054908054908055,0.7874255374255374,0.7834757834757835,-0.022015022015022034
gemma2_9b_it,hellaswag,4,early,0.7764180264180264,0.5414400414400415,0.7325174825174826,-0.043900543900543765
gemma2_9b_it,hellaswag,4,middle,0.7764180264180264,0.6427738927738927,0.7496114996114996,-0.02680652680652673
gemma2_9b_it,hellaswag,4,late,0.7764180264180264,0.7534317534317535,0.7617845117845118,-0.014633514633514588
gemma2_9b_it,hellaswag,4,final,0.7764180264180264,0.763014763014763,0.7759000259000259,-0.0005180005180004388
gemma2_9b_it,hellaswag,4,all,0.7764180264180264,0.7415824915824917,0.7522015022015022,-0.024216524216524205
gemma2_9b_it,mmlu,0,early,0.8788319534571493,0.7913962855224883,0.874580443052137,-0.00425151040501226
gemma2_9b_it,mmlu,0,middle,0.8788319534571493,0.823618259118371,0.868762586708436,-0.010069366748713282
gemma2_9b_it,mmlu,0,late,0.8788319534571493,0.8627769075855896,0.8764264936227345,-0.002405459834414758
gemma2_9b_it,mmlu,0,final,0.8788319534571493,0.8708324009845603,0.872398746923249,-0.0064332065339002265
gemma2_9b_it,mmlu,0,all,0.8788319534571493,0.8594204520026851,0.8617699709107184,-0.017061982546430876
gemma2_9b_it,mmlu,1,early,0.8786081897516222,0.8076191541731931,0.9002013873349743,0.021593197583352097
gemma2_9b_it,mmlu,1,middle,0.8786081897516222,0.8812374132915641,0.8921458939360035,0.013537704184381272
gemma2_9b_it,mmlu,1,late,0.8786081897516222,0.8608189751622288,0.8670843589169837,-0.011523830834638593
gemma2_9b_it,mmlu,1,final,0.8786081897516222,0.8964533452673975,0.8986350413962856,0.020026851644663335
gemma2_9b_it,mmlu,1,all,0.8786081897516222,0.8868315059297383,0.8856008055493398,0.006992615797717594
gemma2_9b_it,mmlu,2,early,0.8594204520026851,0.7017789214589394,0.8087379727008278,-0.05068247930185732
gemma2_9b_it,mmlu,2,middle,0.8594204520026851,0.7653278138285969,0.818863280375923,-0.04055717162676209
gemma2_9b_it,mmlu,2,late,0.8594204520026851,0.8291004699037816,0.8394495412844037,-0.019970910718281387
gemma2_9b_it,mmlu,2,final,0.8594204520026851,0.8500783172969344,0.8452673976281047,-0.014153054374580476
gemma2_9b_it,mmlu,2,all,0.8594204520026851,0.8421906466771091,0.8448198702170509,-0.014600581785634281
gemma2_9b_it,mmlu,3,early,0.8353658536585366,0.761411948981875,0.8450995748489596,0.00973372119042304
gemma2_9b_it,mmlu,3,middle,0.8353658536585366,0.8304989930633253,0.8511971358245694,0.0158312821660328
gemma2_9b_it,mmlu,3,late,0.8353658536585366,0.8269747147012755,0.8203177444618484,-0.015048109196688197
gemma2_9b_it,mmlu,3,final,0.8353658536585366,0.838106959051242,0.836372790333408,0.0010069366748713948
gemma2_9b_it,mmlu,3,all,0.8353658536585366,0.8529872454687851,0.8419109420452003,0.006545088386663789
gemma2_9b_it,mmlu,4,early,0.8704967554262699,0.780431863951667,0.8522040724994406,-0.018292682926829285
gemma2_9b_it,mmlu,4,middle,0.8704967554262699,0.8066122174983217,0.8554486462295816,-0.015048109196688308
gemma2_9b_it,mmlu,4,late,0.8704967554262699,0.8425822331617812,0.8440926381740881,-0.026404117252181836
