model,dataset,test_auroc_correct,test_auprc_failure,test_risk_at_80,test_aurc,test_eaurc,test_failure_recall_at_20_abstain
falcon3_7b_instruct,arc_challenge,0.0035999999999999366,0.012461272300055448,-0.020833333333333315,0.0023998839636683866,0.002399883963668383,0.09999999999999987
falcon3_7b_instruct,commonsenseqa,0.006002331002330941,0.0005586833249032752,0.0,-0.0028380297917316444,-0.002838029791731679,0.0
falcon3_7b_instruct,hellaswag,0.00583881578947365,-0.01267261110760054,-0.0012500000000000011,-0.0030729247640037954,-0.0030729247640037816,0.004166666666666652
falcon3_7b_instruct,mmlu,0.001945810231195666,0.013169142092504527,-0.0050000000000000044,-0.0014191683155949653,-0.0014191683155949375,0.010126582278481067
gemma2_9b_it,arc_challenge,-0.1781818181818181,-0.06064483134230225,0.016666666666666677,0.03285357608660121,0.0328535760866012,-0.15999999999999992
gemma2_9b_it,commonsenseqa,-0.08595539481615444,-0.0444009784734557,0.01625,0.05100220917042268,0.05100220917042265,-0.06190476190476202
gemma2_9b_it,hellaswag,-0.03814102564102562,-0.013804418916822492,0.004999999999999977,0.02075057970622035,0.02075057970622035,-0.018181818181818188
gemma2_9b_it,mmlu,-0.022222222222222143,0.021531489431865225,0.0,0.01686465151441785,0.016864651514417885,0.0
llama31_8b_instruct,arc_challenge,0.0010416666666668295,0.03603900447623054,-0.029166666666666674,0.0028431327677544763,0.0028431327677544416,0.1166666666666667
llama31_8b_instruct,commonsenseqa,-0.024688149688149696,-0.023759284555531335,0.0062500000000000056,0.021510471415327803,0.021510471415327803,-0.019230769230769273
llama31_8b_instruct,hellaswag,-0.015388504254176039,-0.016150465022668703,0.0012500000000000289,0.022131074229157638,0.022131074229157693,-0.003076923076923088
llama31_8b_instruct,mmlu,-0.01595208070617904,-0.009233031885999665,0.011249999999999982,0.012844759208712475,0.012844759208712503,-0.02307692307692305
mistral7b_v03,arc_challenge,0.00883797054009805,0.0008634695177489604,-0.008333333333333304,-0.004687015774875625,-0.004687015774875611,0.03076923076923077
mistral7b_v03,commonsenseqa,0.001095594962431945,-0.006381562897668114,-0.008750000000000036,0.0015333184217208584,0.0015333184217208862,0.023787258912916387
mistral7b_v03,hellaswag,0.005105416506010818,-0.014243347168485965,0.0012500000000000289,-0.010868763427087758,-0.010868763427087771,-0.0032786885245901787
mistral7b_v03,mmlu,0.00433654943458861,-0.002939317505951222,-0.0050000000000000044,-0.005439735723526129,-0.005439735723526101,0.009876543209876465
olmo2_7b_instruct,arc_challenge,-0.005965909090908994,-0.01913973840679173,0.020833333333333315,-0.012863523788334608,-0.012863523788334566,-0.0625
olmo2_7b_instruct,commonsenseqa,0.0012176560121764934,-0.0012806477984111941,0.011249999999999982,-0.010773599987025095,-0.01077359998702504,-0.033333333333333326
olmo2_7b_instruct,hellaswag,0.044122694122694095,0.019795034341251294,-0.012500000000000011,-0.03324606887889914,-0.03324606887889911,0.02702702702702703
olmo2_7b_instruct,mmlu,0.0038181818181817206,-0.02344281230070555,0.014999999999999958,-0.0045737072889123764,-0.004573707288912446,-0.026666666666666727
qwen25_7b,arc_challenge,-0.0888888888888888,-0.11296737604320772,0.020833333333333336,0.015206824751979583,0.01520682475197956,-0.16666666666666663
qwen25_7b,commonsenseqa,-0.0022857142857143353,0.002132707401042655,0.0050000000000000044,-0.002573376699411274,-0.002573376699411281,-0.02285714285714291
qwen25_7b,hellaswag,-0.013246234803121038,-0.038018329042305954,0.0024999999999999883,0.002317711394844664,0.002317711394844643,-0.012121212121212088
qwen25_7b,mmlu,-0.0015198932371003337,-0.005047268200114252,-0.0024999999999999745,0.00012267497930734672,0.0001226749793073606,0.006448412698412731
