family,test_auroc_correct_macro,test_auroc_correct_weighted,test_auprc_failure_macro,test_auprc_failure_weighted,test_risk_at_80_macro,test_risk_at_80_weighted,test_aurc_macro,test_aurc_weighted,risk80_retained_weighted,total_retained_across_seed_conditions
confidence_option,0.7988482103704287,0.7925531559123504,0.5704754183057862,0.5793222944247312,0.18991319444444443,0.20795454545454545,0.11529946402848348,0.1266311951479556,0.20795454545454545,15840
cheap_plus_hidden_pca,0.7819534958400283,0.7812509708890569,0.5580764508981854,0.5693625228018203,0.1915798611111111,0.20997474747474748,0.11988383707726401,0.13092402032805545,0.20997474747474748,15840
hidden_pca,0.7071405993166316,0.7132676333459156,0.4682895770724572,0.4902792449823216,0.21260416666666668,0.2298611111111111,0.15203379011839016,0.1627132859246358,0.2298611111111111,15840
