model,test_auroc_correct,test_auprc_failure,test_risk_at_80,test_aurc,model_label
falcon3_7b_instruct,0.004346739255750048,0.0033791216524656775,-0.00677083333333333,-0.0012325597269155046,Falcon3-7B
gemma2_9b_it,-0.08112511521530508,-0.024329684825178804,0.009479166666666664,0.030367754119415523,Gemma-2-9B-IT
llama31_8b_instruct,-0.013746766995459486,-0.0032759442469922906,-0.0026041666666666644,0.014832359405238098,Llama-3.1-8B
mistral7b_v03,0.004843882860782356,-0.005675189513589085,-0.005208333333333329,-0.004865549125942163,Mistral-7B-v0.3
olmo2_7b_instruct,0.010798155715535829,-0.006017041041164295,0.008645833333333311,-0.015364224985792804,OLMo2-7B
qwen25_7b,-0.026485182803706125,-0.03847506647114632,0.0064583333333333385,0.00376845860668008,Qwen2.5-7B
