metric,mean_delta,two_way_ci_low,two_way_ci_high,lodo_min,lodo_max,lomo_min,lomo_max
AUROC,-0.01689471453040041,-0.056735663976467156,0.005881214623892084,-0.021875795024970317,-0.008106453876375486,-0.022433288579587658,-0.0040486343934194756
AUPRC-fail,-0.012398967407600853,-0.033916634860394985,0.0008521342697486353,-0.016200745523001086,-0.008565945460230762,-0.01555458521961416,-0.00718374759489176
Risk@80%,0.001666666666666665,-0.0057638888888888835,0.00881987847222224,0.0005555555555555557,0.0024305555555555526,0.00010416666666666525,0.003354166666666664
AURC,0.004584373048780538,-0.00741330595178354,0.0180788113691027,0.002897997813412755,0.006222963606138941,-0.0005723031653464588,0.008574092655695207
