sample_size,feature_set,mean_auroc,std_auroc,n_cases
100,cheap_confidence_option,0.720483651213568,0.12182437441882644,100
100,cheap_plus_pca_hidden,0.682613685595994,0.14716114035861258,100
300,cheap_confidence_option,0.7299504366628333,0.10667403240478916,75
300,cheap_plus_pca_hidden,0.6877188320433786,0.09417854708938027,75
500,cheap_confidence_option,0.7378115809464113,0.10416177022788531,75
500,cheap_plus_pca_hidden,0.7112587819462522,0.08817106470742998,75
1000,cheap_confidence_option,0.7449393048835727,0.09332935600414025,75
1000,cheap_plus_pca_hidden,0.7313651215558082,0.09369017592377306,75
