model,dataset,family,auroc,AURC,E_AURC,risk80,risk60,risk40,fc20
gemma2_9b_it,arc_challenge,Confidence/option,0.9049913941480205,0.011554498377032721,0.00844985718660934,0.02222222222222216,0.00370370370370368,0.0,0.7714285714285715
gemma2_9b_it,arc_challenge,Conf./option + contrastive,0.7855421686746988,0.02678147847108498,0.023676837280661618,0.03888888888888882,0.02962962962962958,0.016666666666666642,0.6
gemma2_9b_it,arc_challenge,Conf./option + PCA hidden,0.8881239242685026,0.01268069531456906,0.00957605412414568,0.030555555555555503,0.0,0.0,0.6857142857142857
gemma2_9b_it,arc_challenge,Contrastive hidden,0.6970740103270223,0.04145744601840608,0.0383528048279827,0.05277777777777772,0.0444444444444444,0.044444444444444384,0.45714285714285713
gemma2_9b_it,arc_challenge,PCA hidden emb.,0.8213425129087779,0.02061788937180836,0.01751324818138498,0.03333333333333326,0.02592592592592588,0.00555555555555554,0.6571428571428571
gemma2_9b_it,commonsenseqa,Confidence/option,0.812966311700489,0.07288419284066741,0.04910527689769132,0.12583333333333332,0.0866666666666666,0.0483333333333333,0.5206349206349207
gemma2_9b_it,commonsenseqa,Conf./option + contrastive,0.7513227513227514,0.10035849345860308,0.07657957751562698,0.1441666666666666,0.10444444444444438,0.07999999999999992,0.4507936507936508
gemma2_9b_it,commonsenseqa,Conf./option + PCA hidden,0.8132610006027727,0.07300453055010732,0.04922561460713122,0.12666666666666662,0.08444444444444438,0.041666666666666644,0.5174603174603174
gemma2_9b_it,commonsenseqa,Contrastive hidden,0.734137030339562,0.11016350619020834,0.08638459024723225,0.14583333333333331,0.11777777777777772,0.0816666666666666,0.44444444444444436
gemma2_9b_it,commonsenseqa,PCA hidden emb.,0.7855736387381957,0.08513562165329151,0.061356705710315415,0.135,0.08666666666666663,0.06333333333333328,0.48571428571428565
gemma2_9b_it,hellaswag,Confidence/option,0.7842786842786843,0.0870073642352546,0.060807689349017056,0.14249999999999996,0.10222222222222217,0.06999999999999994,0.4818181818181818
gemma2_9b_it,hellaswag,Conf./option + contrastive,0.7401579901579902,0.10360728244922149,0.07740760756298389,0.1566666666666666,0.11888888888888889,0.0816666666666666,0.4303030303030303
gemma2_9b_it,hellaswag,Conf./option + PCA hidden,0.7844988344988344,0.08840162890400313,0.062201954017765584,0.1425,0.10666666666666666,0.06499999999999996,0.4818181818181818
gemma2_9b_it,hellaswag,Contrastive hidden,0.7294742294742295,0.11116140334153231,0.08496172845529473,0.15833333333333327,0.12555555555555553,0.08666666666666663,0.4242424242424242
gemma2_9b_it,hellaswag,PCA hidden emb.,0.7716653716653716,0.09341715112275209,0.06721747623651454,0.14999999999999997,0.10555555555555547,0.06833333333333327,0.4545454545454545
gemma2_9b_it,mmlu,Confidence/option,0.8657753412396509,0.08112615723158008,0.039808944556898276,0.1766666666666666,0.07888888888888881,0.01666666666666668,0.48292682926829267
gemma2_9b_it,mmlu,Conf./option + contrastive,0.8417990601924368,0.09275052495146006,0.05143331227677818,0.17666666666666664,0.09888888888888883,0.03999999999999996,0.48292682926829267
gemma2_9b_it,mmlu,Conf./option + PCA hidden,0.8872790333407922,0.07547618648422741,0.03415897380954556,0.16499999999999998,0.0655555555555555,0.02333333333333334,0.5170731707317072
