comparison,all_mean_gain,all_sd,all_positive,competent_mean_gain,competent_sd,competent_positive
Hidden summaries only,-0.06267654395364015,0.04751241868083215,3/28,-0.05735002889325733,0.03957453272446211,2/24
PCA hidden only,-0.03354890014771541,0.04176162615346934,4/28,-0.024562659415083676,0.031218865956771865,4/24
Conf./option + summaries,0.0007926952720093297,0.02057763135675352,13/28,0.0013863606870109467,0.016931530846727296,12/24
Conf./option + PCA hidden,0.004483839438736632,0.01775466204413477,19/28,0.007585613287804632,0.013325206216824538,18/24
