model,dataset,family,auroc
qwen25_7b,commonsenseqa,Conf./option + summaries,0.8172484913299213
qwen25_7b,commonsenseqa,Conf./option + PCA hidden,0.8307692307692308
qwen25_7b,commonsenseqa,Hidden summaries,0.7037353907264533
qwen25_7b,commonsenseqa,PCA hidden emb.,0.7915667252310749
qwen25_7b,hellaswag,Confidence/option,0.8714529636555817
qwen25_7b,hellaswag,Conf./option + summaries,0.8745263842588828
qwen25_7b,hellaswag,Conf./option + PCA hidden,0.87831531018782
qwen25_7b,hellaswag,Hidden summaries,0.8386372875843564
qwen25_7b,hellaswag,PCA hidden emb.,0.8587039596715179
qwen25_7b,mmlu_all,Confidence/option,0.8542439024390245
qwen25_7b,mmlu_all,Conf./option + summaries,0.8494582798459565
qwen25_7b,mmlu_all,Conf./option + PCA hidden,0.8549011553273427
qwen25_7b,mmlu_all,Hidden summaries,0.8124159178433888
qwen25_7b,mmlu_all,PCA hidden emb.,0.8320000000000001
gemma2_9b_it,arc_challenge,Confidence/option,0.9049913941480205
gemma2_9b_it,arc_challenge,Conf./option + PCA hidden,0.8881239242685026
gemma2_9b_it,arc_challenge,Conf./option + summaries,0.8925989672977623
gemma2_9b_it,arc_challenge,Hidden summaries,0.7697074010327022
gemma2_9b_it,arc_challenge,PCA hidden emb.,0.8213425129087779
gemma2_9b_it,commonsenseqa,Confidence/option,0.812966311700489
gemma2_9b_it,commonsenseqa,Conf./option + PCA hidden,0.8132610006027727
gemma2_9b_it,commonsenseqa,Conf./option + summaries,0.8129261268501775
gemma2_9b_it,commonsenseqa,Hidden summaries,0.7714285714285715
gemma2_9b_it,commonsenseqa,PCA hidden emb.,0.7855736387381957
gemma2_9b_it,hellaswag,Confidence/option,0.7842786842786843
gemma2_9b_it,hellaswag,Conf./option + PCA hidden,0.7844988344988344
gemma2_9b_it,hellaswag,Conf./option + summaries,0.7793576793576793
gemma2_9b_it,hellaswag,Hidden summaries,0.7572131572131572
gemma2_9b_it,hellaswag,PCA hidden emb.,0.7716653716653716
gemma2_9b_it,mmlu,Confidence/option,0.8657753412396509
gemma2_9b_it,mmlu,Conf./option + PCA hidden,0.8872790333407922
gemma2_9b_it,mmlu,Conf./option + summaries,0.8777355113000672
gemma2_9b_it,mmlu,Hidden summaries,0.8508391138957261
gemma2_9b_it,mmlu,PCA hidden emb.,0.865484448422466
llama31_8b_instruct,arc_challenge,Confidence/option,0.8657407407407408
llama31_8b_instruct,arc_challenge,Conf./option + PCA hidden,0.8597222222222222
llama31_8b_instruct,arc_challenge,Conf./option + summaries,0.8393518518518519
llama31_8b_instruct,arc_challenge,Hidden summaries,0.7814814814814814
llama31_8b_instruct,arc_challenge,PCA hidden emb.,0.8248456790123457
llama31_8b_instruct,commonsenseqa,Confidence/option,0.7905058905058906
llama31_8b_instruct,commonsenseqa,Conf./option + PCA hidden,0.7991221991221991
llama31_8b_instruct,commonsenseqa,Conf./option + summaries,0.7830330330330331
llama31_8b_instruct,commonsenseqa,Hidden summaries,0.7238276738276739
llama31_8b_instruct,commonsenseqa,PCA hidden emb.,0.7724416724416725
llama31_8b_instruct,hellaswag,Confidence/option,0.7688118811881188
llama31_8b_instruct,hellaswag,Conf./option + PCA hidden,0.7742170135380885
llama31_8b_instruct,hellaswag,Conf./option + summaries,0.7624974742372197
llama31_8b_instruct,hellaswag,Hidden summaries,0.67008486562942
llama31_8b_instruct,hellaswag,PCA hidden emb.,0.7109315013133967
llama31_8b_instruct,mmlu,Confidence/option,0.8188718140929534
llama31_8b_instruct,mmlu,Conf./option + PCA hidden,0.8239926911544228
llama31_8b_instruct,mmlu,Conf./option + summaries,0.8242222638680659
llama31_8b_instruct,mmlu,Hidden summaries,0.7656484257871063
llama31_8b_instruct,mmlu,PCA hidden emb.,0.8002998500749625
