feature_set,n_cases,mean_auroc,std_case_auroc
direct_pmax,20,0.7351219530619446,0.09553714095705183
cheap_confidence_option,20,0.7508396759127772,0.08988937612256688
hidden_summary_only,20,0.6891780827576166,0.09920605434186451
pca_hidden_embeddings,20,0.7168390848718438,0.1087505781181744
cheap_plus_hidden_summary,20,0.7539604067985249,0.08646424304832562
cheap_plus_pca_hidden,20,0.7562033080843442,0.09343220095024736
