family,all_cases,all_mean,all_sd,competent_cases,competent_mean,competent_sd
Confidence/option,28,0.7724548420053604,0.08652076358134614,24,0.799575607851161,0.05471467165906461
Hidden summaries,28,0.7097782980517204,0.09330527455077585,24,0.7422255789579038,0.04934974843459685
PCA hidden emb.,28,0.738905941857645,0.10066023265064929,24,0.7750129484360774,0.04862139438889374
Conf./option + summaries,28,0.7732475372773697,0.08242591669101403,24,0.8009619685381719,0.047870973168274496
Conf./option + PCA hidden,28,0.7769386814440971,0.08817940259395844,24,0.8071612211389656,0.04851132631885933
