model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option,extratrees,5,0.6470322215941209,0.06397737093314915,0.5265911357725916,0.7556080908734233
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary,logreg,5,0.6382136800452234,0.030334071669210573,0.5214426080858989,0.7512931283583558
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.6195590729225551,0.05815222091042119,0.4985838519523072,0.7300636328369704
deepseek_r1_qwen7b,arc_challenge,direct_pmax,none,5,0.5992085924250989,0.05820714627889701,0.47172159109722,0.7199372340967592
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only,mlp,5,0.48535895986433014,0.05405200109617429,0.3555411928216965,0.6104826249811282
deepseek_r1_qwen7b,arc_challenge,pca_hidden_embeddings,mlp,5,0.5106840022611645,0.049871686190385726,0.3825387683324405,0.6395529052139166
deepseek_r1_qwen7b,commonsenseqa,cheap_confidence_option,logreg,5,0.652104285439754,0.030509179738849472,0.5672160496918206,0.7249916596565079
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary,logreg,5,0.608609313945295,0.029691034663380734,0.5303379912042205,0.6839879006610466
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden,extratrees,5,0.6168214720389469,0.0366974637725693,0.5360226452751615,0.6972122080683867
deepseek_r1_qwen7b,commonsenseqa,direct_pmax,none,5,0.5974761386202037,0.01961157726055758,0.5150768450685336,0.6788433217569126
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only,mlp,5,0.5015565947088592,0.029209027406489535,0.4284778213580103,0.5808480754871069
deepseek_r1_qwen7b,commonsenseqa,pca_hidden_embeddings,logreg,5,0.5263211837806675,0.02076757159297605,0.4529370182546928,0.6058503516388125
deepseek_r1_qwen7b,hellaswag,cheap_confidence_option,logreg,5,0.5290780967911013,0.03452051732770086,0.4552287674611309,0.6009893436673769
deepseek_r1_qwen7b,hellaswag,cheap_plus_hidden_summary,logreg,5,0.5812474520994699,0.039085923696334395,0.5043150451101845,0.652829536913922
deepseek_r1_qwen7b,hellaswag,cheap_plus_pca_hidden,logreg,5,0.5603983460485703,0.041685269279894306,0.4832610465569845,0.6314265565617241
deepseek_r1_qwen7b,hellaswag,direct_pmax,none,5,0.49319200978393807,0.03181109131645619,0.41678490638965415,0.5689759358943849
deepseek_r1_qwen7b,hellaswag,hidden_summary_only,logreg,5,0.5458389144487799,0.03619346083158196,0.4661131516084246,0.6170610110936036
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings,logreg,5,0.5267252926445751,0.03425082936074736,0.44547754005826656,0.5993151725651139
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option,extratrees,5,0.6107063838972533,0.03264458332284909,0.5394598672704121,0.6774162369449842
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary,extratrees,5,0.5997733527602396,0.027506093076095257,0.5296116296371596,0.6661775632288507
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden,extratrees,5,0.5856348820894717,0.04132521141945195,0.5129833653443006,0.656253054881183
deepseek_r1_qwen7b,mmlu_all,direct_pmax,none,5,0.6305865846419513,0.04616027144625947,0.5599965769242755,0.6954185133072889
deepseek_r1_qwen7b,mmlu_all,hidden_summary_only,extratrees,5,0.5276239814365118,0.0474246754601466,0.45676536275521684,0.5976910474934444
deepseek_r1_qwen7b,mmlu_all,pca_hidden_embeddings,hgb,5,0.5253251308617991,0.06003152802298406,0.45661768704274286,0.5980169952167822
falcon3_7b_instruct,arc_challenge,cheap_confidence_option,extratrees,5,0.8252444444444444,0.04323967085677771,0.6743381407147376,0.9319515345891556
falcon3_7b_instruct,arc_challenge,cheap_plus_hidden_summary,extratrees,5,0.8152888888888888,0.03832750358246928,0.6608099506428239,0.9290175808515766
falcon3_7b_instruct,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.8334222222222222,0.040381391631832846,0.6819840008673048,0.9397862874335665
falcon3_7b_instruct,arc_challenge,direct_pmax,none,5,0.8385777777777778,0.032723910539354195,0.7038378886548378,0.9375119768262362
falcon3_7b_instruct,arc_challenge,hidden_summary_only,extratrees,5,0.7386666666666667,0.0679229774391371,0.5780343071804598,0.8666438831252586
falcon3_7b_instruct,arc_challenge,pca_hidden_embeddings,logreg,5,0.8007111111111112,0.08520221407892295,0.6510081131833223,0.920405257616155
falcon3_7b_instruct,commonsenseqa,cheap_confidence_option,logreg,5,0.8241647241647241,0.03492405053365645,0.7719575687583171,0.872770226301706
falcon3_7b_instruct,commonsenseqa,cheap_plus_hidden_summary,extratrees,5,0.8301217301217301,0.042623315645002414,0.7793986594603532,0.8788220487419558
falcon3_7b_instruct,commonsenseqa,cheap_plus_pca_hidden,extratrees,5,0.8280756280756281,0.04630081046884288,0.7789918167814246,0.8779825929385707
falcon3_7b_instruct,commonsenseqa,direct_pmax,none,5,0.8135586635586636,0.04768547961265473,0.7619984516322255,0.8672750759409616
falcon3_7b_instruct,commonsenseqa,hidden_summary_only,logreg,5,0.7388111888111888,0.023180043880396028,0.6777976154253867,0.7950465527690802
