model,dataset,seed,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
deepseek_r1_qwen7b,arc_challenge,42,early,0.6579988694177501,0.4720180893159977,0.542679479932165,-0.115319389485585
deepseek_r1_qwen7b,arc_challenge,42,middle,0.6579988694177501,0.3843979649519503,0.465799886941775,-0.192198982475975
deepseek_r1_qwen7b,arc_challenge,42,late,0.6579988694177501,0.4104013566986998,0.5477671000565292,-0.1102317693612209
deepseek_r1_qwen7b,arc_challenge,42,final,0.6579988694177501,0.4934991520633126,0.5743357829282081,-0.083663086489542
deepseek_r1_qwen7b,arc_challenge,42,all,0.6579988694177501,0.399095534200113,0.5121537591859808,-0.1458451102317692
deepseek_r1_qwen7b,arc_challenge,7,early,0.6930469191633691,0.4618428490672696,0.6116449971735444,-0.0814019219898247
deepseek_r1_qwen7b,arc_challenge,7,middle,0.6930469191633691,0.3719615602035048,0.5850763143018655,-0.1079706048615036
deepseek_r1_qwen7b,arc_challenge,7,late,0.6930469191633691,0.4612775579423402,0.5901639344262295,-0.1028829847371396
deepseek_r1_qwen7b,arc_challenge,7,final,0.6930469191633691,0.4771057094403617,0.5856416054267948,-0.1074053137365743
deepseek_r1_qwen7b,arc_challenge,7,all,0.6930469191633691,0.4301865460712266,0.57263990955342,-0.1204070096099491
deepseek_r1_qwen7b,arc_challenge,123,early,0.6913510457885812,0.4946297343131713,0.6172979084228378,-0.0740531373657433
deepseek_r1_qwen7b,arc_challenge,123,middle,0.6913510457885812,0.4222724703222159,0.56416054267948,-0.1271905031091011
deepseek_r1_qwen7b,arc_challenge,123,late,0.6913510457885812,0.4686263425664217,0.6291690220463539,-0.0621820237422272
deepseek_r1_qwen7b,arc_challenge,123,final,0.6913510457885812,0.4544940644431882,0.5121537591859808,-0.1791972866026003
deepseek_r1_qwen7b,arc_challenge,123,all,0.6913510457885812,0.4414923685698134,0.5647258338044092,-0.1266252119841719
deepseek_r1_qwen7b,arc_challenge,777,early,0.5828151498021481,0.5890333521763709,0.5771622385528548,-0.0056529112492933
deepseek_r1_qwen7b,arc_challenge,777,middle,0.5828151498021481,0.4884115319389485,0.58111927642736,-0.001695873374788
deepseek_r1_qwen7b,arc_challenge,777,late,0.5828151498021481,0.5138496325607689,0.6172979084228377,0.0344827586206896
deepseek_r1_qwen7b,arc_challenge,777,final,0.5828151498021481,0.4646693046919163,0.5206331260599208,-0.0621820237422272
deepseek_r1_qwen7b,arc_challenge,777,all,0.5828151498021481,0.5234595816845675,0.5743357829282081,-0.00847936687394
deepseek_r1_qwen7b,arc_challenge,2025,early,0.5873374788015828,0.5104578858111928,0.5528547201808931,-0.0344827586206897
deepseek_r1_qwen7b,arc_challenge,2025,middle,0.5873374788015828,0.4635387224420577,0.600904465799887,0.0135669869983041
deepseek_r1_qwen7b,arc_challenge,2025,late,0.5873374788015828,0.4855850763143019,0.5782928208027134,-0.0090446579988694
deepseek_r1_qwen7b,arc_challenge,2025,final,0.5873374788015828,0.472583380440927,0.5466365178066706,-0.0407009609949122
deepseek_r1_qwen7b,arc_challenge,2025,all,0.5873374788015828,0.4906726964386658,0.6065573770491803,0.0192198982475975
deepseek_r1_qwen7b,commonsenseqa,42,early,0.6235987444750496,0.5086797770802639,0.6000896803535968,-0.0235090641214528
deepseek_r1_qwen7b,commonsenseqa,42,middle,0.6235987444750496,0.4653129203766575,0.5647299980782782,-0.0588687463967714
deepseek_r1_qwen7b,commonsenseqa,42,late,0.6235987444750496,0.5881750048043046,0.6407661264492985,0.0171673819742489
deepseek_r1_qwen7b,commonsenseqa,42,final,0.6235987444750496,0.5793991416309013,0.6072641086413426,-0.0163346358337069
deepseek_r1_qwen7b,commonsenseqa,42,all,0.6235987444750496,0.5224521170969189,0.600538082121581,-0.0230606623534685
deepseek_r1_qwen7b,commonsenseqa,7,early,0.6863109345973993,0.5216834283518033,0.6070719364550637,-0.0792389981423355
deepseek_r1_qwen7b,commonsenseqa,7,middle,0.6863109345973993,0.4673627570302991,0.5711997950163347,-0.1151111395810646
deepseek_r1_qwen7b,commonsenseqa,7,late,0.6863109345973993,0.6388444045865096,0.6843251553391838,-0.0019857792582155
deepseek_r1_qwen7b,commonsenseqa,7,final,0.6863109345973993,0.5635129075651784,0.6362180513740311,-0.0500928832233682
deepseek_r1_qwen7b,commonsenseqa,7,all,0.6863109345973993,0.5322528985971431,0.61943501377234,-0.0668759208250593
deepseek_r1_qwen7b,commonsenseqa,123,early,0.6812504003587214,0.4930497725962462,0.590352956248799,-0.0908974441099224
deepseek_r1_qwen7b,commonsenseqa,123,middle,0.6812504003587214,0.4430209467683044,0.5653065146371148,-0.1159438857216066
deepseek_r1_qwen7b,commonsenseqa,123,late,0.6812504003587214,0.5586445455127793,0.6240471462430337,-0.0572032541156877
deepseek_r1_qwen7b,commonsenseqa,123,final,0.6812504003587214,0.6102748062263789,0.6474280955736339,-0.0338223047850875
deepseek_r1_qwen7b,commonsenseqa,123,all,0.6812504003587214,0.5070783421946063,0.6117481263211837,-0.0695022740375377
deepseek_r1_qwen7b,commonsenseqa,777,early,0.6227659983345076,0.497469732880661,0.5949650887194927,-0.0278009096150149
deepseek_r1_qwen7b,commonsenseqa,777,middle,0.6227659983345076,0.4945230926910512,0.6049580424059957,-0.0178079559285119
deepseek_r1_qwen7b,commonsenseqa,777,late,0.6227659983345076,0.612644929857152,0.6331432963935685,0.0103772980590608
deepseek_r1_qwen7b,commonsenseqa,777,final,0.6227659983345076,0.5452565498686823,0.6062391903145218,-0.0165268080199858
deepseek_r1_qwen7b,commonsenseqa,777,all,0.6227659983345076,0.558964832489911,0.6244314906155916,0.0016654922810839
deepseek_r1_qwen7b,commonsenseqa,2025,early,0.646595349433092,0.4833771058868746,0.5979757863045289,-0.0486195631285631
deepseek_r1_qwen7b,commonsenseqa,2025,middle,0.646595349433092,0.4454551277945039,0.5513420024341811,-0.0952533469989109
deepseek_r1_qwen7b,commonsenseqa,2025,late,0.646595349433092,0.5531356095061175,0.6121324706937415,-0.0344628787393505
deepseek_r1_qwen7b,commonsenseqa,2025,final,0.646595349433092,0.5893280379219781,0.6465312920376658,-6.405739542625355e-05
deepseek_r1_qwen7b,commonsenseqa,2025,all,0.646595349433092,0.5108577285247581,0.601178656075844,-0.045416693357248
deepseek_r1_qwen7b,hellaswag,42,early,0.5007862093063886,0.5286238425251878,0.5468522508881253,0.0460660415817366
deepseek_r1_qwen7b,hellaswag,42,middle,0.5007862093063886,0.5235571603284608,0.5565197134703862,0.0557335041639975
deepseek_r1_qwen7b,hellaswag,42,late,0.5007862093063886,0.5476093413313144,0.5774852949740842,0.0766990856676955
deepseek_r1_qwen7b,hellaswag,42,final,0.5007862093063886,0.553258400792033,0.5929765301962612,0.0921903208898725
deepseek_r1_qwen7b,hellaswag,42,all,0.5007862093063886,0.5477258167841128,0.5845320598683829,0.0837458505619942
deepseek_r1_qwen7b,hellaswag,7,early,0.5739327936637354,0.6022363286937278,0.6323452332420941,0.0584124395783587
deepseek_r1_qwen7b,hellaswag,7,middle,0.5739327936637354,0.5402713878050202,0.5917535379418788,0.0178207442781433
deepseek_r1_qwen7b,hellaswag,7,late,0.5739327936637354,0.5703220546269874,0.6032263700425134,0.029293576378778
deepseek_r1_qwen7b,hellaswag,7,final,0.5739327936637354,0.5518606953584532,0.5950730883466309,0.0211402946828954
deepseek_r1_qwen7b,hellaswag,7,all,0.5739327936637354,0.5626346747422981,0.6089336672296314,0.0350008735658959
deepseek_r1_qwen7b,hellaswag,123,early,0.5230912585172675,0.5467940131617262,0.5492399976704909,0.0261487391532234
deepseek_r1_qwen7b,hellaswag,123,middle,0.5230912585172675,0.5080659251062839,0.5451051190961504,0.0220138605788829
deepseek_r1_qwen7b,hellaswag,123,late,0.5230912585172675,0.5653718478830587,0.5862209539339585,0.063129695416691
deepseek_r1_qwen7b,hellaswag,123,final,0.5230912585172675,0.5619358220255082,0.5910546852250889,0.0679634267078214
deepseek_r1_qwen7b,hellaswag,123,all,0.5230912585172675,0.535204705608293,0.5684002096558151,0.0453089511385476
deepseek_r1_qwen7b,hellaswag,777,early,0.4932735426008968,0.4842466950090268,0.49443829712888,0.0011647545279832
deepseek_r1_qwen7b,hellaswag,777,middle,0.4932735426008968,0.4892551394793547,0.4974084211752373,0.0041348785743405
deepseek_r1_qwen7b,hellaswag,777,late,0.4932735426008968,0.4993302661464096,0.5248383903092424,0.0315648477083455
deepseek_r1_qwen7b,hellaswag,777,final,0.4932735426008968,0.5360782715042804,0.5497641372080834,0.0564905946071865
deepseek_r1_qwen7b,hellaswag,777,all,0.4932735426008968,0.5134237959350066,0.5386989691922428,0.0454254265913459
deepseek_r1_qwen7b,hellaswag,2025,early,0.5543066798672179,0.4613592685341564,0.5013103488439812,-0.0529963310232367
deepseek_r1_qwen7b,hellaswag,2025,middle,0.5543066798672179,0.4797041523498922,0.5239065866868557,-0.0304000931803621
deepseek_r1_qwen7b,hellaswag,2025,late,0.5543066798672179,0.481393046415468,0.501252111117582,-0.0530545687496358
deepseek_r1_qwen7b,hellaswag,2025,final,0.5543066798672179,0.4726573874555937,0.4950206743928717,-0.0592860054743462
deepseek_r1_qwen7b,hellaswag,2025,all,0.5543066798672179,0.4746374701531652,0.5014268242967794,-0.0528798555704385
deepseek_r1_qwen7b,mmlu_all,42,early,0.5493497382764018,0.4749338945550698,0.5168636339107442,-0.0324861043656575
deepseek_r1_qwen7b,mmlu_all,42,middle,0.5493497382764018,0.4630618962819059,0.5279801413847066,-0.0213695968916951
deepseek_r1_qwen7b,mmlu_all,42,late,0.5493497382764018,0.4437429172737575,0.5050455992660946,-0.0443041390103071
