model_key,dataset,cheap_confidence_option,cheap_plus_hidden_summary,cheap_plus_pca_hidden,direct_pmax,hidden_summary_only,pca_hidden_embeddings,gain_hidden_summary_only_over_cheap,gain_pca_hidden_embeddings_over_cheap,gain_cheap_plus_hidden_summary_over_cheap,gain_cheap_plus_pca_hidden_over_cheap
deepseek_r1_qwen7b,arc_challenge,0.6470322215941209,0.6382136800452234,0.6195590729225551,0.5992085924250989,0.4853589598643301,0.5106840022611645,-0.1616732617297908,-0.13634821933295638,-0.008818541548897496,-0.027473148671565806
deepseek_r1_qwen7b,commonsenseqa,0.652104285439754,0.608609313945295,0.6168214720389469,0.5974761386202037,0.5015565947088592,0.5263211837806675,-0.1505476907308948,-0.12578310165908646,-0.04349497149445891,-0.03528281340080708
deepseek_r1_qwen7b,hellaswag,0.5290780967911013,0.5812474520994699,0.5603983460485703,0.493192009783938,0.5458389144487799,0.5267252926445751,0.01676081765767856,-0.002352804146526166,0.05216935530836864,0.03132024925746901
deepseek_r1_qwen7b,mmlu_all,0.6107063838972533,0.5997733527602396,0.5856348820894717,0.6305865846419513,0.5276239814365118,0.5253251308617991,-0.0830824024607415,-0.08538125303545419,-0.010933031137013716,-0.025071501807781615
falcon3_7b_instruct,arc_challenge,0.8252444444444444,0.8152888888888888,0.8334222222222222,0.8385777777777778,0.7386666666666667,0.8007111111111112,-0.08657777777777775,-0.024533333333333296,-0.009955555555555606,0.008177777777777728
falcon3_7b_instruct,commonsenseqa,0.8241647241647241,0.8301217301217301,0.8280756280756281,0.8135586635586636,0.7388111888111888,0.768104118104118,-0.08535353535353529,-0.05606060606060603,0.00595700595700599,0.0039109039109039845
falcon3_7b_instruct,hellaswag,0.810428849902534,0.8220394736842105,0.8166910331384015,0.7052631578947368,0.7397904483430799,0.775,-0.07063840155945411,-0.03542884990253403,0.011610623781676432,0.006262183235867469
falcon3_7b_instruct,mmlu_all,0.8027193145837213,0.815282175451667,0.8192587073943006,0.7742410132240641,0.7960141553361892,0.8144999068727883,-0.006705159247532011,0.011780592289067027,0.01256286086794578,0.016539392810579367
mistral7b_v03,arc_challenge,0.6854285714285714,0.6898571428571428,0.698857142857143,0.7117857142857142,0.6895714285714286,0.6571428571428571,0.004142857142857226,-0.028285714285714247,0.004428571428571448,0.013428571428571567
mistral7b_v03,commonsenseqa,0.7456260720411664,0.7439215265866209,0.7446719554030874,0.7353291166380789,0.6895583190394511,0.7253430531732419,-0.05606775300171529,-0.020283018867924496,-0.0017045454545454586,-0.0009541166380789834
mistral7b_v03,hellaswag,0.7230873745819398,0.7580163043478262,0.7657713210702342,0.7155988712374582,0.7283549331103678,0.7541910535117057,0.0052675585284279736,0.031103678929765843,0.03492892976588635,0.04268394648829432
mistral7b_v03,mmlu_all,0.7500161595641534,0.766231127937578,0.7666097234406021,0.7557689644027887,0.7364236576019206,0.7576804099912277,-0.013592501962232717,0.007664250427074304,0.01621496837342462,0.016593563876448725
olmo2_7b_instruct,arc_challenge,0.7877525252525253,0.8002525252525252,0.8094696969696971,0.7998737373737373,0.7022727272727273,0.7707070707070708,-0.08547979797979799,-0.017045454545454475,0.012499999999999956,0.0217171717171718
olmo2_7b_instruct,commonsenseqa,0.7744517729297029,0.772489993798974,0.7798410282428547,0.7634026720784711,0.7027904616945713,0.7483510908168443,-0.07166131123513164,-0.026100682112858653,-0.0019617791307289245,0.0053892553131518195
olmo2_7b_instruct,hellaswag,0.7082161854103344,0.7479863221884498,0.7432750759878419,0.6915558510638299,0.6623955167173252,0.7285904255319149,-0.04582066869300916,0.02037424012158051,0.03977013677811547,0.03505889057750755
olmo2_7b_instruct,mmlu_all,0.7523052749719417,0.7574231200897867,0.7511470258136924,0.7492255892255892,0.7222087542087542,0.7449696969696971,-0.030096520763187473,-0.007335578002244603,0.005117845117845077,-0.0011582491582492471
qwen25_7b,arc_challenge,0.8304526748971194,0.7912208504801097,0.8205761316872427,0.8308641975308643,0.7215363511659808,0.720164609053498,-0.10891632373113858,-0.11028806584362139,-0.039231824417009675,-0.009876543209876631
qwen25_7b,commonsenseqa,0.8322817202658316,0.8172484913299213,0.8307692307692308,0.8060652356580856,0.7037353907264533,0.7915667252310749,-0.12854632953937828,-0.04071499503475673,-0.015033228935910303,-0.0015124894966007663
qwen25_7b,hellaswag,0.8714529636555817,0.8745263842588828,0.87831531018782,0.8574274331246443,0.8386372875843564,0.8587039596715179,-0.032815676071225264,-0.012749003984063756,0.00307342060330118,0.006862346532238384
qwen25_7b,mmlu_all,0.8542439024390245,0.8494582798459565,0.8549011553273427,0.8334377406931963,0.8124159178433888,0.8320000000000001,-0.04182798459563564,-0.02224390243902441,-0.0047856225930680285,0.0006572528883181938
