,cheap_auc,pca_hidden_only_auc,combined_auc,gain_combined_over_cheap
mean,0.7479288950779903,0.6991199526969237,0.7248023497365125,-0.02312654534147796
std,0.09762539171632661,0.11999423203186102,0.1048881012360426,0.051090381712971415
