subset,signal,n_cases,risk80,risk60,risk40,AURC,EAURC,FC20
All seven,Confidence/option,28,0.2636706349206349,0.20809523809523806,0.15684523809523807,0.1914699233723828,0.09944797434392963,0.4231017904758388
All seven,Conf./option + PCA hidden,28,0.2620039682539682,0.2042592592592592,0.154781746031746,0.18810351460684246,0.09608156557838932,0.42676601383758317
Competent subset,Confidence/option,24,0.19043981481481478,0.12882716049382711,0.0744907407407407,0.11450471776906569,0.06995656194115264,0.4558100834356152
Competent subset,Conf./option + PCA hidden,24,0.18760416666666666,0.12353395061728391,0.07148148148148144,0.10990151775015522,0.06535336192224218,0.4610869021492112
