model_key,dataset,seed,pca_dim,cheap_auc,cheap_plus_pca_auc,gain,pca_explained_variance,n_total
deepseek_r1_qwen7b,arc_challenge,42,8,0.6579988694177501,0.6297343131712833,-0.028264556246466843,0.45975518226623535,299
deepseek_r1_qwen7b,arc_challenge,42,16,0.6579988694177501,0.6370830977953647,-0.02091577162238545,0.5795608758926392,299
deepseek_r1_qwen7b,arc_challenge,42,32,0.6579988694177501,0.5178066704352742,-0.14019219898247592,0.6932266354560852,299
deepseek_r1_qwen7b,arc_challenge,42,64,0.6579988694177501,0.5121537591859808,-0.14584511023176927,0.8114538788795471,299
deepseek_r1_qwen7b,arc_challenge,42,128,0.6579988694177501,0.4946297343131713,-0.1633691351045788,0.9295393228530884,299
deepseek_r1_qwen7b,arc_challenge,42,256,0.6579988694177501,0.5019785189372526,-0.15602035048049745,0.9999998807907104,299
deepseek_r1_qwen7b,arc_challenge,7,8,0.6930469191633691,0.6568682871678914,-0.03617863199547777,0.44808852672576904,299
deepseek_r1_qwen7b,arc_challenge,7,16,0.6930469191633691,0.6127755794234031,-0.08027133973996603,0.5692143440246582,299
deepseek_r1_qwen7b,arc_challenge,7,32,0.6930469191633691,0.5941209723007348,-0.09892594686263434,0.6851541996002197,299
deepseek_r1_qwen7b,arc_challenge,7,64,0.6930469191633691,0.57263990955342,-0.1204070096099491,0.8061431050300598,299
deepseek_r1_qwen7b,arc_challenge,7,128,0.6930469191633691,0.5279819106840022,-0.1650650084793669,0.9272431135177612,299
deepseek_r1_qwen7b,arc_challenge,7,256,0.6930469191633691,0.5178066704352742,-0.17524024872809496,1.0,299
deepseek_r1_qwen7b,arc_challenge,123,8,0.6913510457885812,0.6546071226681741,-0.036743923120407085,0.44525548815727234,299
deepseek_r1_qwen7b,arc_challenge,123,16,0.6913510457885812,0.6659129451667609,-0.02543810062182028,0.5691540837287903,299
deepseek_r1_qwen7b,arc_challenge,123,32,0.6913510457885812,0.6269078575466366,-0.06444318824194462,0.6854891777038574,299
deepseek_r1_qwen7b,arc_challenge,123,64,0.6913510457885812,0.5647258338044092,-0.12662521198417198,0.8067874908447266,299
deepseek_r1_qwen7b,arc_challenge,123,128,0.6913510457885812,0.5602035048049745,-0.1311475409836067,0.9271764755249023,299
deepseek_r1_qwen7b,arc_challenge,123,256,0.6913510457885812,0.4737139626907857,-0.2176370830977955,1.0,299
deepseek_r1_qwen7b,arc_challenge,777,8,0.5828151498021481,0.5777275296777841,-0.005087620124364034,0.4449670910835266,299
deepseek_r1_qwen7b,arc_challenge,777,16,0.5828151498021481,0.5618993781797627,-0.02091577162238545,0.5685253739356995,299
deepseek_r1_qwen7b,arc_challenge,777,32,0.5828151498021481,0.5652911249293386,-0.017524024872809463,0.6866918802261353,299
deepseek_r1_qwen7b,arc_challenge,777,64,0.5828151498021481,0.5743357829282081,-0.00847936687394002,0.8053225874900818,299
deepseek_r1_qwen7b,arc_challenge,777,128,0.5828151498021481,0.5313736574335783,-0.05144149236856976,0.9270532727241516,299
deepseek_r1_qwen7b,arc_challenge,777,256,0.5828151498021481,0.5019785189372526,-0.08083663086489545,1.0,299
deepseek_r1_qwen7b,arc_challenge,2025,8,0.5873374788015828,0.5647258338044092,-0.022611644997173608,0.43592503666877747,299
deepseek_r1_qwen7b,arc_challenge,2025,16,0.5873374788015828,0.5822498586772187,-0.005087620124364145,0.5625385642051697,299
deepseek_r1_qwen7b,arc_challenge,2025,32,0.5873374788015828,0.5873374788015828,0.0,0.6806033849716187,299
deepseek_r1_qwen7b,arc_challenge,2025,64,0.5873374788015828,0.6065573770491803,0.01921989824759751,0.8034965991973877,299
deepseek_r1_qwen7b,arc_challenge,2025,128,0.5873374788015828,0.5449406444318824,-0.04239683436970043,0.926177442073822,299
deepseek_r1_qwen7b,arc_challenge,2025,256,0.5873374788015828,0.5505935556811759,-0.036743923120406974,0.9999999403953552,299
deepseek_r1_qwen7b,commonsenseqa,42,8,0.6235987444750496,0.5946448017423611,-0.028953942732688476,0.35738006234169006,1000
deepseek_r1_qwen7b,commonsenseqa,42,16,0.6235987444750496,0.6054064441739799,-0.018192300301069664,0.46708768606185913,1000
deepseek_r1_qwen7b,commonsenseqa,42,32,0.6235987444750496,0.5789507398629172,-0.044648004612132364,0.5778337717056274,1000
deepseek_r1_qwen7b,commonsenseqa,42,64,0.6235987444750496,0.600538082121581,-0.023060662353468597,0.6891472935676575,1000
deepseek_r1_qwen7b,commonsenseqa,42,128,0.6235987444750496,0.635129075651784,0.01153033117673441,0.7949155569076538,1000
deepseek_r1_qwen7b,commonsenseqa,42,256,0.6235987444750496,0.592274678111588,-0.03132406636346163,0.8933984041213989,1000
deepseek_r1_qwen7b,commonsenseqa,7,8,0.6863109345973993,0.6559477291653322,-0.030363205432067164,0.35664013028144836,1000
deepseek_r1_qwen7b,commonsenseqa,7,16,0.6863109345973993,0.6285952213183011,-0.05771571327909819,0.4651179313659668,1000
deepseek_r1_qwen7b,commonsenseqa,7,32,0.6863109345973993,0.6448017423611556,-0.04150919223624372,0.5755694508552551,1000
deepseek_r1_qwen7b,commonsenseqa,7,64,0.6863109345973993,0.61943501377234,-0.06687592082505933,0.6856676340103149,1000
deepseek_r1_qwen7b,commonsenseqa,7,128,0.6863109345973993,0.6171289475369931,-0.06918198706040624,0.7914838790893555,1000
deepseek_r1_qwen7b,commonsenseqa,7,256,0.6863109345973993,0.6114918967394786,-0.07481903785792077,0.8915374279022217,1000
deepseek_r1_qwen7b,commonsenseqa,123,8,0.6812504003587214,0.6880404842739094,0.006790083915187983,0.35807615518569946,1000
deepseek_r1_qwen7b,commonsenseqa,123,16,0.6812504003587214,0.6562680161424637,-0.024982384216257758,0.4669434428215027,1000
deepseek_r1_qwen7b,commonsenseqa,123,32,0.6812504003587214,0.6331432963935687,-0.04810710396515272,0.5778626203536987,1000
deepseek_r1_qwen7b,commonsenseqa,123,64,0.6812504003587214,0.6117481263211837,-0.06950227403753773,0.6887129545211792,1000
deepseek_r1_qwen7b,commonsenseqa,123,128,0.6812504003587214,0.622189481775671,-0.059060918583050404,0.7942409515380859,1000
deepseek_r1_qwen7b,commonsenseqa,123,256,0.6812504003587214,0.5891999231311255,-0.09205047722759596,0.8932723999023438,1000
deepseek_r1_qwen7b,commonsenseqa,777,8,0.6227659983345076,0.5873422586637628,-0.03542373967074486,0.3565669357776642,1000
deepseek_r1_qwen7b,commonsenseqa,777,16,0.6227659983345076,0.5656908590096726,-0.05707513932483499,0.4662461280822754,1000
deepseek_r1_qwen7b,commonsenseqa,777,32,0.6227659983345076,0.5789507398629171,-0.04381525847159051,0.5770203471183777,1000
deepseek_r1_qwen7b,commonsenseqa,777,64,0.6227659983345076,0.6244314906155916,0.0016654922810839246,0.6876703500747681,1000
deepseek_r1_qwen7b,commonsenseqa,777,128,0.6227659983345076,0.6025879187752226,-0.020178079559285078,0.7936705350875854,1000
deepseek_r1_qwen7b,commonsenseqa,777,256,0.6227659983345076,0.6235987444750497,0.0008327461405420733,0.8928754329681396,1000
deepseek_r1_qwen7b,commonsenseqa,2025,8,0.646595349433092,0.6758695791429121,0.029274229709820077,0.3539441227912903,1000
deepseek_r1_qwen7b,commonsenseqa,2025,16,0.646595349433092,0.674780603420665,0.02818525398757299,0.4633992910385132,1000
deepseek_r1_qwen7b,commonsenseqa,2025,32,0.646595349433092,0.613926077765678,-0.03266927166741407,0.5736790299415588,1000
deepseek_r1_qwen7b,commonsenseqa,2025,64,0.646595349433092,0.601178656075844,-0.04541669335724807,0.6844340562820435,1000
deepseek_r1_qwen7b,commonsenseqa,2025,128,0.646595349433092,0.6137979629748255,-0.032797386458266575,0.7909052968025208,1000
deepseek_r1_qwen7b,commonsenseqa,2025,256,0.646595349433092,0.5522388059701493,-0.09435654346294275,0.8911869525909424,1000
deepseek_r1_qwen7b,hellaswag,42,8,0.5007862093063886,0.5246636771300448,0.023877467823656184,0.5289580821990967,1000
deepseek_r1_qwen7b,hellaswag,42,16,0.5007862093063886,0.5777764836060801,0.07699027429969152,0.6049042344093323,1000
deepseek_r1_qwen7b,hellaswag,42,32,0.5007862093063886,0.5724768505037564,0.07169064119736779,0.6883497834205627,1000
