model_key,dataset,seed,cheap_auc,pca_hidden_only_auc,combined_auc,gain_combined_over_cheap,n_total
deepseek_r1_qwen7b,arc_challenge,42,0.6579988694177501,0.39909553420011307,0.5121537591859808,-0.14584511023176927,299
deepseek_r1_qwen7b,arc_challenge,7,0.6930469191633691,0.43018654607122664,0.57263990955342,-0.1204070096099491,299
deepseek_r1_qwen7b,arc_challenge,123,0.6913510457885812,0.44149236856981344,0.5647258338044092,-0.12662521198417198,299
deepseek_r1_qwen7b,arc_challenge,777,0.5828151498021481,0.5234595816845675,0.5743357829282081,-0.00847936687394002,299
deepseek_r1_qwen7b,arc_challenge,2025,0.5873374788015828,0.49067269643866585,0.6065573770491803,0.01921989824759751,299
deepseek_r1_qwen7b,commonsenseqa,42,0.6235987444750496,0.5224521170969189,0.600538082121581,-0.023060662353468597,1000
deepseek_r1_qwen7b,commonsenseqa,7,0.6863109345973993,0.5322528985971431,0.61943501377234,-0.06687592082505933,1000
deepseek_r1_qwen7b,commonsenseqa,123,0.6812504003587214,0.5070783421946063,0.6117481263211837,-0.06950227403753773,1000
deepseek_r1_qwen7b,commonsenseqa,777,0.6227659983345076,0.558964832489911,0.6244314906155916,0.0016654922810839246,1000
deepseek_r1_qwen7b,commonsenseqa,2025,0.646595349433092,0.5108577285247581,0.601178656075844,-0.04541669335724807,1000
deepseek_r1_qwen7b,hellaswag,42,0.5007862093063886,0.5477258167841128,0.5845320598683829,0.08374585056199424,1000
deepseek_r1_qwen7b,hellaswag,7,0.5739327936637354,0.5626346747422981,0.6089336672296314,0.035000873565895985,1000
deepseek_r1_qwen7b,hellaswag,123,0.5230912585172675,0.535204705608293,0.5684002096558151,0.045308951138547604,1000
deepseek_r1_qwen7b,hellaswag,777,0.49327354260089684,0.5134237959350066,0.5386989691922428,0.04542542659134596,1000
deepseek_r1_qwen7b,hellaswag,2025,0.5543066798672179,0.47463747015316526,0.5014268242967794,-0.052879855570438505,1000
deepseek_r1_qwen7b,mmlu_all,42,0.5493497382764018,0.4579353515730398,0.5054233446656953,-0.04392639361070649,1000
deepseek_r1_qwen7b,mmlu_all,7,0.5747666073066752,0.5092547622902164,0.5561491554692137,-0.01861745183746144,1000
deepseek_r1_qwen7b,mmlu_all,123,0.6413577248934219,0.48448545680211536,0.5506988289892611,-0.09065889590416076,1000
deepseek_r1_qwen7b,mmlu_all,777,0.5282499595272785,0.4199989207274298,0.44811397118342233,-0.08013598834385616,1000
deepseek_r1_qwen7b,mmlu_all,2025,0.5614375910636231,0.5236090874750418,0.5430899573687334,-0.018347633694889676,1000
falcon3_7b_instruct,arc_challenge,42,0.7751111111111111,0.6782222222222223,0.7102222222222222,-0.06488888888888888,299
falcon3_7b_instruct,arc_challenge,7,0.8248888888888889,0.8142222222222222,0.8577777777777779,0.03288888888888897,299
falcon3_7b_instruct,arc_challenge,123,0.8622222222222222,0.760888888888889,0.8,-0.06222222222222218,299
falcon3_7b_instruct,arc_challenge,777,0.8079999999999999,0.8506666666666667,0.8302222222222222,0.022222222222222254,299
falcon3_7b_instruct,arc_challenge,2025,0.8488888888888889,0.8995555555555557,0.9013333333333333,0.052444444444444405,299
falcon3_7b_instruct,commonsenseqa,42,0.8425925925925927,0.7718855218855218,0.8297073297073297,-0.012885262885262927,1000
falcon3_7b_instruct,commonsenseqa,7,0.8172105672105672,0.7457912457912458,0.8029655529655529,-0.014245014245014231,1000
