model_key,dataset,signal,seed,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option__extratrees,594.8,0.588482777625708,0.271889303765511,0.31659347386019693,0.6361111111111111,0.3638888888888889,0.5851851851851853,0.4148148148148148,0.5722222222222222,0.42777777777777776,0.24918032786885247,0.48196721311475416,0.6622950819672131
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option__hgb,594.8,0.622130422465082,0.305536948604885,0.31659347386019693,0.6583333333333333,0.3416666666666667,0.6444444444444445,0.3555555555555555,0.6277777777777778,0.37222222222222223,0.22295081967213112,0.42950819672131146,0.6295081967213114
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option__logreg,594.8,0.5711123576325253,0.25451888377232834,0.31659347386019693,0.6305555555555555,0.36944444444444446,0.6148148148148148,0.3851851851851852,0.5888888888888889,0.4111111111111111,0.2557377049180328,0.4557377049180328,0.6524590163934427
deepseek_r1_qwen7b,arc_challenge,cheap_confidence_option__mlp,594.8,0.6306475817090137,0.31405410784881677,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6407407407407407,0.3592592592592593,0.6055555555555555,0.39444444444444443,0.21311475409836067,0.4327868852459017,0.6426229508196721
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary__extratrees,594.8,0.5921881246986019,0.27559465083840495,0.31659347386019693,0.6444444444444445,0.3555555555555555,0.6148148148148148,0.3851851851851852,0.5722222222222222,0.42777777777777776,0.23934426229508196,0.4557377049180328,0.6622950819672131
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary__hgb,594.8,0.6120517988699982,0.2954583250098013,0.31659347386019693,0.6444444444444445,0.3555555555555555,0.611111111111111,0.3888888888888889,0.6055555555555555,0.3944444444444445,0.23934426229508196,0.4590163934426229,0.6426229508196721
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary__logreg,594.8,0.5957823471908145,0.27918887333061754,0.31659347386019693,0.6333333333333333,0.3666666666666667,0.6037037037037037,0.39629629629629626,0.5777777777777778,0.42222222222222217,0.25245901639344265,0.46557377049180326,0.659016393442623
deepseek_r1_qwen7b,arc_challenge,cheap_plus_hidden_summary__mlp,594.8,0.6480571092417222,0.33146363538152535,0.31659347386019693,0.6722222222222223,0.3277777777777778,0.6592592592592592,0.34074074074074073,0.6444444444444445,0.3555555555555555,0.20655737704918034,0.4163934426229508,0.619672131147541
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden__extratrees,594.8,0.5997004024364602,0.2831069285762632,0.31659347386019693,0.6444444444444445,0.3555555555555555,0.611111111111111,0.38888888888888895,0.5833333333333334,0.41666666666666663,0.23934426229508196,0.4590163934426229,0.6557377049180328
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden__hgb,594.8,0.6391620699406737,0.32256859608047667,0.31659347386019693,0.6555555555555556,0.34444444444444444,0.6518518518518519,0.3481481481481481,0.6444444444444445,0.3555555555555555,0.2262295081967213,0.4229508196721311,0.619672131147541
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden__logreg,594.8,0.627633920414922,0.31104044655472507,0.31659347386019693,0.663888888888889,0.33611111111111114,0.6296296296296297,0.37037037037037035,0.65,0.35,0.2163934426229508,0.4426229508196721,0.6163934426229508
deepseek_r1_qwen7b,arc_challenge,cheap_plus_pca_hidden__mlp,594.8,0.6691891441948952,0.3525956703346983,0.31659347386019693,0.6805555555555556,0.3194444444444445,0.6555555555555556,0.34444444444444444,0.6777777777777778,0.32222222222222224,0.19672131147540983,0.419672131147541,0.6
deepseek_r1_qwen7b,arc_challenge,direct_pmax,594.8,0.61080510914485,0.29421163528465305,0.31659347386019693,0.6555555555555556,0.34444444444444444,0.6148148148148148,0.3851851851851852,0.5888888888888889,0.4111111111111111,0.2262295081967213,0.4557377049180328,0.6524590163934426
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only__extratrees,594.8,0.6953142286462247,0.3787207547860278,0.31659347386019693,0.6972222222222222,0.30277777777777776,0.6925925925925925,0.3074074074074074,0.6888888888888889,0.31111111111111117,0.17704918032786884,0.3868852459016393,0.5934426229508196
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only__hgb,594.8,0.6961015137908836,0.3795080399306867,0.31659347386019693,0.6833333333333333,0.3166666666666667,0.6888888888888889,0.3111111111111111,0.7,0.3,0.19344262295081965,0.3901639344262295,0.5868852459016394
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only__logreg,594.8,0.7214628936001243,0.4048694197399273,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6777777777777778,0.32222222222222224,0.6888888888888889,0.3111111111111111,0.21311475409836067,0.4,0.5934426229508196
deepseek_r1_qwen7b,arc_challenge,hidden_summary_only__mlp,594.8,0.6900739646673608,0.37348049080716383,0.31659347386019693,0.6861111111111111,0.3138888888888889,0.6777777777777778,0.32222222222222224,0.6944444444444444,0.3055555555555555,0.1901639344262295,0.4,0.5901639344262295
