model,dataset,seed,cheap_auroc,pca_hidden_only_auc,combined_auroc,gain_combined_over_cheap
deepseek_r1_qwen7b,arc_challenge,42,0.6579988694177501,0.399095534200113,0.5121537591859808,-0.14584511023176927
deepseek_r1_qwen7b,arc_challenge,7,0.6930469191633691,0.4301865460712266,0.57263990955342,-0.1204070096099491
deepseek_r1_qwen7b,arc_challenge,123,0.6913510457885812,0.4414923685698134,0.5647258338044092,-0.12662521198417198
deepseek_r1_qwen7b,arc_challenge,777,0.5828151498021481,0.5234595816845675,0.5743357829282081,-0.00847936687394002
deepseek_r1_qwen7b,arc_challenge,2025,0.5873374788015828,0.4906726964386658,0.6065573770491803,0.01921989824759751
deepseek_r1_qwen7b,commonsenseqa,42,0.6235987444750496,0.5224521170969189,0.600538082121581,-0.023060662353468597
deepseek_r1_qwen7b,commonsenseqa,7,0.6863109345973993,0.5322528985971431,0.61943501377234,-0.06687592082505933
deepseek_r1_qwen7b,commonsenseqa,123,0.6812504003587214,0.5070783421946063,0.6117481263211837,-0.06950227403753773
deepseek_r1_qwen7b,commonsenseqa,777,0.6227659983345076,0.558964832489911,0.6244314906155916,0.0016654922810839246
deepseek_r1_qwen7b,commonsenseqa,2025,0.646595349433092,0.5108577285247581,0.601178656075844,-0.04541669335724807
deepseek_r1_qwen7b,hellaswag,42,0.5007862093063886,0.5477258167841128,0.5845320598683829,0.08374585056199424
deepseek_r1_qwen7b,hellaswag,7,0.5739327936637354,0.5626346747422981,0.6089336672296314,0.035000873565895985
deepseek_r1_qwen7b,hellaswag,123,0.5230912585172675,0.535204705608293,0.5684002096558151,0.045308951138547604
deepseek_r1_qwen7b,hellaswag,777,0.4932735426008968,0.5134237959350066,0.5386989691922428,0.04542542659134602
deepseek_r1_qwen7b,hellaswag,2025,0.5543066798672179,0.4746374701531652,0.5014268242967794,-0.052879855570438505
deepseek_r1_qwen7b,mmlu_all,42,0.5493497382764018,0.4579353515730398,0.5054233446656953,-0.04392639361070649
deepseek_r1_qwen7b,mmlu_all,7,0.5747666073066752,0.5092547622902164,0.5561491554692137,-0.01861745183746144
deepseek_r1_qwen7b,mmlu_all,123,0.6413577248934219,0.4844854568021153,0.5506988289892611,-0.09065889590416076
deepseek_r1_qwen7b,mmlu_all,777,0.5282499595272785,0.4199989207274298,0.4481139711834223,-0.08013598834385621
deepseek_r1_qwen7b,mmlu_all,2025,0.5614375910636231,0.5236090874750418,0.5430899573687334,-0.018347633694889676
falcon3_7b_instruct,arc_challenge,42,0.7751111111111111,0.6782222222222223,0.7102222222222222,-0.06488888888888888
falcon3_7b_instruct,arc_challenge,7,0.8248888888888889,0.8142222222222222,0.8577777777777779,0.03288888888888897
falcon3_7b_instruct,arc_challenge,123,0.8622222222222222,0.760888888888889,0.8,-0.06222222222222218
falcon3_7b_instruct,arc_challenge,777,0.8079999999999999,0.8506666666666667,0.8302222222222222,0.022222222222222254
falcon3_7b_instruct,arc_challenge,2025,0.8488888888888889,0.8995555555555557,0.9013333333333332,0.052444444444444294
falcon3_7b_instruct,commonsenseqa,42,0.8425925925925927,0.7718855218855218,0.8297073297073297,-0.012885262885262927
falcon3_7b_instruct,commonsenseqa,7,0.8172105672105672,0.7457912457912458,0.8029655529655529,-0.014245014245014231
falcon3_7b_instruct,commonsenseqa,123,0.7661227661227662,0.747021497021497,0.7850945350945351,0.018971768971768888
falcon3_7b_instruct,commonsenseqa,777,0.8517871017871017,0.8054260554260555,0.8295130795130795,-0.022274022274022198
falcon3_7b_instruct,commonsenseqa,2025,0.8431105931105932,0.7543382543382543,0.8138435638435638,-0.0292670292670294
falcon3_7b_instruct,hellaswag,42,0.7894736842105263,0.7466496101364523,0.8023269980506823,0.012853313840155978
falcon3_7b_instruct,hellaswag,7,0.8515472709551657,0.8003776803118907,0.8557504873294347,0.004203216374269014
falcon3_7b_instruct,hellaswag,123,0.7927022417153996,0.7690667641325536,0.8068957115009746,0.014193469785575008
falcon3_7b_instruct,hellaswag,777,0.7793006822612085,0.7499390838206628,0.7825292397660818,0.003228557504873275
falcon3_7b_instruct,hellaswag,2025,0.8391203703703703,0.7551778752436646,0.8298001949317738,-0.009320175438596534
falcon3_7b_instruct,mmlu_all,42,0.828971875582045,0.8315328739057554,0.8288787483702739,-9.312721177112682e-05
falcon3_7b_instruct,mmlu_all,7,0.811650214192587,0.8090892158688769,0.8213354442168002,0.009685230024213176
falcon3_7b_instruct,mmlu_all,123,0.762292791953809,0.7547494878003352,0.7505587632706276,-0.011734028683181297
falcon3_7b_instruct,mmlu_all,777,0.7923263177500467,0.7994039858446639,0.8042466008567704,0.011920283106723661
