,cheap_group_auc_drop,pca_hidden_group_auc_drop,importance_ratio_cheap_to_pca
mean,0.1421674059529685,0.09868912776502153,0.8911162841834119
std,0.07692956712067014,0.08242668375912468,6.450750556749486
