model_key,model_family,dataset,seed,signal,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,direct_pmax,0.6480984059001116,0.33150493203991466,0.31659347386019693,0.6388888888888888,0.36111111111111116,0.6111111111111112,0.38888888888888884,0.6944444444444444,0.3055555555555556,0.2459016393442623,0.45901639344262296,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option__logreg,0.5468925382681994,0.23029906440800246,0.31659347386019693,0.625,0.375,0.6111111111111112,0.38888888888888884,0.6388888888888888,0.36111111111111116,0.26229508196721313,0.45901639344262296,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option__mlp,0.6772173694681163,0.36062389560791935,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.6851851851851852,0.31481481481481477,0.6111111111111112,0.38888888888888884,0.16393442622950818,0.39344262295081966,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option__extratrees,0.605964580544094,0.28937110668389704,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6296296296296297,0.37037037037037035,0.6388888888888888,0.36111111111111116,0.22950819672131148,0.4426229508196721,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_confidence_option__hgb,0.6238534095752057,0.3072599357150088,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6111111111111112,0.38888888888888884,0.6111111111111112,0.38888888888888884,0.21311475409836064,0.45901639344262296,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only__logreg,0.7835029318349414,0.4669094579747444,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.7407407407407407,0.2592592592592593,0.75,0.25,0.21311475409836064,0.3442622950819672,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only__mlp,0.7098710700804582,0.3932775962202613,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7037037037037037,0.2962962962962963,0.7777777777777778,0.2222222222222222,0.18032786885245902,0.3770491803278688,0.5409836065573771
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only__extratrees,0.7400458467864779,0.42345237292628096,0.31659347386019693,0.7222222222222222,0.2777777777777778,0.7037037037037037,0.2962962962962963,0.7222222222222222,0.2777777777777778,0.14754098360655737,0.3770491803278688,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,hidden_summary_only__hgb,0.6831183226647369,0.36652484880454,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6296296296296297,0.37037037037037035,0.6111111111111112,0.38888888888888884,0.22950819672131148,0.4426229508196721,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary__logreg,0.6336369437844078,0.3170434699242109,0.31659347386019693,0.6388888888888888,0.36111111111111116,0.6111111111111112,0.38888888888888884,0.5833333333333334,0.41666666666666663,0.2459016393442623,0.45901639344262296,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary__mlp,0.7100145478125648,0.39342107395236786,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.18032786885245902,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary__extratrees,0.618349217813743,0.30175574395354604,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.7037037037037037,0.2962962962962963,0.6388888888888888,0.36111111111111116,0.19672131147540983,0.3770491803278688,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_hidden_summary__hgb,0.6073873691861338,0.29079389532593686,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6666666666666666,0.33333333333333337,0.5555555555555556,0.4444444444444444,0.22950819672131148,0.4098360655737705,0.6721311475409836
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings__logreg,0.703346906309751,0.3867534324495541,0.31659347386019693,0.7361111111111112,0.26388888888888884,0.7222222222222222,0.2777777777777778,0.7777777777777778,0.2222222222222222,0.13114754098360656,0.36065573770491804,0.5409836065573771
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings__mlp,0.6352757609172327,0.3186822870570358,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6851851851851852,0.31481481481481477,0.6111111111111112,0.38888888888888884,0.21311475409836064,0.39344262295081966,0.639344262295082
