model_key,dataset,seed,layer,cheap_auc,hidden_only_auc,cheap_plus_layer_auc,gain_over_cheap,pca_explained_variance,n_total
deepseek_r1_qwen7b,arc_challenge,42,early,0.6579988694177501,0.47201808931599776,0.542679479932165,-0.11531938948558507,0.832595705986023,299
deepseek_r1_qwen7b,arc_challenge,42,middle,0.6579988694177501,0.3843979649519503,0.46579988694177504,-0.19219898247597506,0.8642990589141846,299
deepseek_r1_qwen7b,arc_challenge,42,late,0.6579988694177501,0.41040135669869987,0.5477671000565292,-0.11023176936122092,0.848494291305542,299
deepseek_r1_qwen7b,arc_challenge,42,final,0.6579988694177501,0.49349915206331263,0.5743357829282081,-0.08366308648954202,0.8587405681610107,299
deepseek_r1_qwen7b,arc_challenge,42,all,0.6579988694177501,0.39909553420011307,0.5121537591859808,-0.14584511023176927,0.8114538788795471,299
deepseek_r1_qwen7b,arc_challenge,7,early,0.6930469191633691,0.46184284906726963,0.6116449971735444,-0.08140192198982477,0.8300248384475708,299
deepseek_r1_qwen7b,arc_challenge,7,middle,0.6930469191633691,0.3719615602035048,0.5850763143018655,-0.10797060486150367,0.8614722490310669,299
deepseek_r1_qwen7b,arc_challenge,7,late,0.6930469191633691,0.46127755794234027,0.5901639344262295,-0.10288298473713964,0.8458408117294312,299
deepseek_r1_qwen7b,arc_challenge,7,final,0.6930469191633691,0.47710570944036174,0.5856416054267948,-0.10740531373657436,0.8532127737998962,299
deepseek_r1_qwen7b,arc_challenge,7,all,0.6930469191633691,0.43018654607122664,0.57263990955342,-0.1204070096099491,0.8061431050300598,299
deepseek_r1_qwen7b,arc_challenge,123,early,0.6913510457885812,0.4946297343131713,0.6172979084228378,-0.07405313736574337,0.8293352723121643,299
deepseek_r1_qwen7b,arc_challenge,123,middle,0.6913510457885812,0.42227247032221593,0.56416054267948,-0.12719050310910118,0.8618718385696411,299
deepseek_r1_qwen7b,arc_challenge,123,late,0.6913510457885812,0.4686263425664217,0.6291690220463539,-0.062182023742227255,0.8467870950698853,299
deepseek_r1_qwen7b,arc_challenge,123,final,0.6913510457885812,0.4544940644431882,0.5121537591859808,-0.17919728660260037,0.8502029180526733,299
deepseek_r1_qwen7b,arc_challenge,123,all,0.6913510457885812,0.44149236856981344,0.5647258338044092,-0.12662521198417198,0.8067874908447266,299
deepseek_r1_qwen7b,arc_challenge,777,early,0.5828151498021481,0.5890333521763709,0.5771622385528548,-0.005652911249293346,0.8314347267150879,299
deepseek_r1_qwen7b,arc_challenge,777,middle,0.5828151498021481,0.48841153193894854,0.58111927642736,-0.0016958733747880483,0.8605555295944214,299
