model_key,dataset,sample_size,seed,feature_set,auroc,pca_explained_variance
deepseek_r1_qwen7b,hellaswag,100,123,cheap_confidence_option,0.6534090909090909,
deepseek_r1_qwen7b,hellaswag,100,123,cheap_plus_pca_hidden,0.4431818181818182,0.9862932562828064
deepseek_r1_qwen7b,hellaswag,100,777,cheap_confidence_option,0.5965909090909092,
deepseek_r1_qwen7b,hellaswag,100,777,cheap_plus_pca_hidden,0.4090909090909091,0.9869862794876099
deepseek_r1_qwen7b,hellaswag,100,2025,cheap_confidence_option,0.48295454545454547,
deepseek_r1_qwen7b,hellaswag,100,2025,cheap_plus_pca_hidden,0.5738636363636364,0.9866148233413696
deepseek_r1_qwen7b,hellaswag,300,42,cheap_confidence_option,0.47955872809863725,
deepseek_r1_qwen7b,hellaswag,300,42,cheap_plus_pca_hidden,0.5983127839065542,0.8384830355644226
deepseek_r1_qwen7b,hellaswag,300,7,cheap_confidence_option,0.5522388059701492,
deepseek_r1_qwen7b,hellaswag,300,7,cheap_plus_pca_hidden,0.618429591174562,0.8353404998779297
deepseek_r1_qwen7b,hellaswag,300,123,cheap_confidence_option,0.6015574302401039,
deepseek_r1_qwen7b,hellaswag,300,123,cheap_plus_pca_hidden,0.6112913692407528,0.8324282169342041
deepseek_r1_qwen7b,hellaswag,300,777,cheap_confidence_option,0.6073977936404932,
deepseek_r1_qwen7b,hellaswag,300,777,cheap_plus_pca_hidden,0.6041531473069436,0.8400294184684753
deepseek_r1_qwen7b,hellaswag,300,2025,cheap_confidence_option,0.698896820246593,
deepseek_r1_qwen7b,hellaswag,300,2025,cheap_plus_pca_hidden,0.6430889033095393,0.8359140753746033
deepseek_r1_qwen7b,hellaswag,500,42,cheap_confidence_option,0.5322245322245323,
deepseek_r1_qwen7b,hellaswag,500,42,cheap_plus_pca_hidden,0.5211365211365211,0.799854040145874
deepseek_r1_qwen7b,hellaswag,500,7,cheap_confidence_option,0.5116655116655117,
deepseek_r1_qwen7b,hellaswag,500,7,cheap_plus_pca_hidden,0.4444444444444444,0.8016171455383301
deepseek_r1_qwen7b,hellaswag,500,123,cheap_confidence_option,0.48279048279048276,
deepseek_r1_qwen7b,hellaswag,500,123,cheap_plus_pca_hidden,0.5915915915915915,0.796778678894043
deepseek_r1_qwen7b,hellaswag,500,777,cheap_confidence_option,0.5719565719565719,
deepseek_r1_qwen7b,hellaswag,500,777,cheap_plus_pca_hidden,0.683067683067683,0.8035327196121216
deepseek_r1_qwen7b,hellaswag,500,2025,cheap_confidence_option,0.49318549318549315,
deepseek_r1_qwen7b,hellaswag,500,2025,cheap_plus_pca_hidden,0.6223146223146223,0.7995363473892212
deepseek_r1_qwen7b,hellaswag,1000,42,cheap_confidence_option,0.5489488090384951,
deepseek_r1_qwen7b,hellaswag,1000,42,cheap_plus_pca_hidden,0.5594898375167433,0.7694831490516663
deepseek_r1_qwen7b,hellaswag,1000,7,cheap_confidence_option,0.5805136567468406,
deepseek_r1_qwen7b,hellaswag,1000,7,cheap_plus_pca_hidden,0.6038669850329044,0.7702453136444092
deepseek_r1_qwen7b,hellaswag,1000,123,cheap_confidence_option,0.5065517442199057,
deepseek_r1_qwen7b,hellaswag,1000,123,cheap_plus_pca_hidden,0.5522683594432473,0.7690416574478149
deepseek_r1_qwen7b,hellaswag,1000,777,cheap_confidence_option,0.5368353619474695,
deepseek_r1_qwen7b,hellaswag,1000,777,cheap_plus_pca_hidden,0.6139421116999593,0.7703380584716797
deepseek_r1_qwen7b,hellaswag,1000,2025,cheap_confidence_option,0.5235571603284608,
deepseek_r1_qwen7b,hellaswag,1000,2025,cheap_plus_pca_hidden,0.5116184264166328,0.7694409489631653
