layer,mean_hidden_only_auc,mean_cheap_plus_layer_auc,mean_gain_over_cheap,std_gain
early,0.5740198055468018,0.712995065326769,-0.034933829751221335,0.052005740106460654
middle,0.6017394163767804,0.712185718185872,-0.03574317689211846,0.047591401609438255
late,0.7031877379742438,0.7291166600995487,-0.018812234978441644,0.047172835401083274
final,0.710995393989653,0.7265845531888165,-0.021344341889173793,0.05458176896130908
all,0.6991199526969238,0.7248023497365124,-0.02312654534147796,0.05109038171297142
