model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_32,1.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5549999999999999,0.7516914435390956,0.6683480845302193,0.3679472253551268,0.625,0.6111111111111112,0.625,0.8333333333333334,0.25,0.34788189987163026,0.5870343111275789,0.772891671763126,0.45376085554678813,0.7291666666666666,0.7777777777777778,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_32,10.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.55375,0.7518834665111276,0.6637074489294389,0.3633065897543464,0.625,0.6111111111111112,0.6666666666666666,0.8333333333333334,0.25,0.3465982028241335,0.5867975351635999,0.7762961199768212,0.45716530376048337,0.7291666666666666,0.7777777777777778,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,0.1,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.7,0.8196029261017609,0.530756503301155,0.23035564412606246,0.6041666666666666,0.5555555555555556,0.5833333333333334,0.9166666666666666,0.275,0.39281129653401803,0.6075744819187548,0.7403248647050067,0.4211940484886688,0.75,0.75,0.75,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,1.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.68625,0.810555686323568,0.52313591584174,0.2227350566666475,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.9166666666666666,0.275,0.3632862644415918,0.5926350340841644,0.7576149885157175,0.43848417229937964,0.7291666666666666,0.7777777777777778,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,10.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6412500000000001,0.7896140660291311,0.5540879540191567,0.25368709484406415,0.6041666666666666,0.5833333333333334,0.625,0.9166666666666666,0.275,0.368421052631579,0.5939581802483965,0.757579989103394,0.4384491728870561,0.75,0.7777777777777778,0.75,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_64,0.1,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.56625,0.7420511113206536,0.6248118553586927,0.32441099618360014,0.625,0.6111111111111112,0.625,0.8333333333333334,0.25,0.3440308087291399,0.6062932976735366,0.7705037956392224,0.45137297942288457,0.7291666666666666,0.7777777777777778,0.8333333333333334,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_64,1.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.56625,0.7471261535536384,0.6267863262937335,0.326385467118641,0.625,0.6111111111111112,0.6666666666666666,0.8333333333333334,0.25,0.362002567394095,0.606953257424999,0.7600802697004623,0.4409494534841244,0.7291666666666666,0.75,0.75,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,hidden_pca,hidden_pca_64,10.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5675,0.7576454840122376,0.6233667482460695,0.322965889070977,0.625,0.6111111111111112,0.7083333333333334,0.8333333333333334,0.25,0.37869062901155326,0.6180129570445021,0.7336436996023292,0.41451288338599135,0.7291666666666666,0.7222222222222222,0.7916666666666666,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_64,0.1,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.69875,0.8071010783441993,0.4888807797440541,0.18847992056896157,0.625,0.5833333333333334,0.5,0.8333333333333334,0.25,0.4120667522464699,0.6258011357806271,0.7366232869225483,0.41749247070621043,0.7083333333333334,0.75,0.7083333333333334,0.5833333333333334,0.17073170731707318
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_64,1.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.68375,0.7831164028293666,0.4947300306456777,0.1943291714705852,0.625,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.25,0.3851091142490372,0.6076924428787374,0.7463009563714498,0.4271701401551119,0.75,0.7777777777777778,0.75,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_64,10.0,64,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.65125,0.7755740277195973,0.5343097697593068,0.23390891058421426,0.625,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.25,0.36970474967907563,0.5999579185687814,0.7613096027995154,0.44217878658317755,0.75,0.7222222222222222,0.7916666666666666,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,1,stratified,confidence_option,cheap,0.1,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.66,0.7774774405064058,0.5167733638401605,0.21637250466506797,0.6458333333333334,0.5833333333333334,0.5833333333333334,0.75,0.225,0.6906290115532734,0.8110240022895462,0.5211595712220827,0.2020287550057448,0.6458333333333334,0.6111111111111112,0.5,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,1,stratified,confidence_option,cheap,1.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.64625,0.7703802269679553,0.5269379447315584,0.2265370855564659,0.6458333333333334,0.6388888888888888,0.5,0.75,0.225,0.7201540436456997,0.8237889873308107,0.5012590076073608,0.18212819139102288,0.6458333333333334,0.5833333333333334,0.5,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,1,stratified,confidence_option,cheap,10.0,0,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.62625,0.7680957822428838,0.5555775129822548,0.25517665380716226,0.6458333333333334,0.6666666666666666,0.5416666666666666,0.75,0.225,0.7278562259306803,0.82350071656825,0.49921633400463816,0.1800855177883003,0.6458333333333334,0.5833333333333334,0.4583333333333333,0.8333333333333334,0.24390243902439024
