model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain,selected_by,test_auroc_correct_ci_low,test_auroc_correct_ci_high,test_auprc_failure_ci_low,test_auprc_failure_ci_high,test_risk_at_80_ci_low,test_risk_at_80_ci_high,test_risk_at_60_ci_low,test_risk_at_60_ci_high,test_risk_at_40_ci_low,test_risk_at_40_ci_high,test_aurc_ci_low,test_aurc_ci_high,test_eaurc_ci_low,test_eaurc_ci_high,test_failure_precision_at_20_abstain_ci_low,test_failure_precision_at_20_abstain_ci_high,test_failure_recall_at_20_abstain_ci_low,test_failure_recall_at_20_abstain_ci_high
falcon3_7b_instruct,arc_challenge,0,stratified,confidence_option,cheap,0.1,0,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.9199999999999999,0.8324458874458874,0.030879806131166997,0.016156257205316514,0.0625,0.027777777777777776,0.0,0.5833333333333334,0.7,0.872,0.5746562261268143,0.03811311529991858,0.023389566374068096,0.08333333333333333,0.027777777777777776,0.0,0.5,0.6,validation_auroc_locked,0.7683388157894737,0.9667165940450254,0.3315600198412698,0.8642169289044288,0.020833333333333332,0.1875,0.0,0.1111111111111111,0.0,0.041666666666666664,0.011745168031694371,0.07826975523350513,0.004769798868520996,0.04977788987766772,0.25,0.75,0.3333333333333333,0.894722222222222
falcon3_7b_instruct,arc_challenge,0,stratified,hidden_pca,hidden_pca_64,10.0,64,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.86,0.6408882783882783,0.04341544096352584,0.02869189203767536,0.08333333333333333,0.05555555555555555,0.041666666666666664,0.5,0.6,0.784,0.42685582616617096,0.057329713242790584,0.0426061643169401,0.125,0.08333333333333333,0.0,0.3333333333333333,0.4,validation_auroc_locked,0.6103386759444385,0.9174714313791554,0.2017556199639911,0.7758614010872411,0.041666666666666664,0.20833333333333334,0.0,0.16666666666666666,0.0,0.125,0.018291577034777413,0.11152357676278714,0.011088577975265157,0.08240496745644985,0.08333333333333333,0.6666666666666666,0.16666666666666666,0.7645833333333327
falcon3_7b_instruct,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,0.1,16,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.9159999999999999,0.7918253968253968,0.030830609252271757,0.01610706032642128,0.0625,0.027777777777777776,0.0,0.5833333333333334,0.7,0.902,0.5861632811632812,0.031868994149627496,0.017145445223777013,0.0625,0.0,0.0,0.5833333333333334,0.7,validation_auroc_locked,0.8078611111111111,0.9858573717948718,0.38246445649938293,0.9115647546897547,0.0,0.17760416666666617,0.0,0.08333333333333333,0.0,0.0,0.008470413703138828,0.07157766074373689,0.002000718493207429,0.04085637316486793,0.25,0.8333333333333334,0.3333333333333333,1.0
falcon3_7b_instruct,arc_challenge,1,stratified,confidence_option,cheap,0.1,0,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.84,0.5305773922472214,0.044714437023723685,0.029990888097873203,0.10416666666666667,0.05555555555555555,0.0,0.4166666666666667,0.5,0.812,0.5293091630591631,0.054368109084420024,0.03964456015856954,0.10416666666666667,0.027777777777777776,0.041666666666666664,0.4166666666666667,0.5,validation_auroc_locked,0.6280092592592593,0.9372548024891775,0.24779430194381627,0.7905470035479225,0.030729166666666675,0.20833333333333334,0.0,0.1388888888888889,0.0,0.16666666666666666,0.01440554276301493,0.11837760603132995,0.00907649539786029,0.09021907110368389,0.16666666666666666,0.6666666666666666,0.22628205128205128,0.8
falcon3_7b_instruct,arc_challenge,1,stratified,hidden_pca,hidden_pca_32,0.1,32,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.88,0.6427365762892078,0.03620817371068235,0.021484624784831867,0.08333333333333333,0.0,0.0,0.5,0.6,0.726,0.37602070393374737,0.08470126359023071,0.06997771466438023,0.14583333333333334,0.05555555555555555,0.041666666666666664,0.25,0.3,validation_auroc_locked,0.5428520833333333,0.8831168831168831,0.15979744786330466,0.7243242509124861,0.0625,0.25,0.0,0.19444444444444445,0.0,0.16666666666666666,0.019621029280071894,0.19536632316064328,0.016052157998028872,0.1668670973334613,0.0,0.5833333333333334,0.0,0.6363636363636364
falcon3_7b_instruct,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,0.1,32,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.9079999999999999,0.675141530296329,0.030721510299390676,0.015997961373540197,0.08333333333333333,0.0,0.0,0.5,0.6,0.84,0.546331566983741,0.05452341965223356,0.03979987072638308,0.08333333333333333,0.027777777777777776,0.041666666666666664,0.5,0.6,validation_auroc_locked,0.6464324618736383,0.9688701298701298,0.2962463418519685,0.8912043226381461,0.0,0.1875,0.0,0.1111111111111111,0.0,0.16666666666666666,0.009581163419062734,0.13515197218660283,0.004047263831070515,0.10875821018532207,0.25,0.8333333333333334,0.36363636363636365,1.0
falcon3_7b_instruct,arc_challenge,2,stratified,confidence_option,cheap,0.1,0,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.86,0.6109307359307359,0.040965955199346885,0.026242406273496402,0.08333333333333333,0.05555555555555555,0.0,0.5,0.6,0.756,0.44173318491852975,0.06446488079866569,0.04974133187281521,0.125,0.1111111111111111,0.041666666666666664,0.3333333333333333,0.4,validation_auroc_locked,0.5784722222222223,0.8854080773723632,0.17928774196237102,0.7191384404736675,0.041666666666666664,0.22916666666666666,0.027777777777777776,0.2222222222222222,0.0,0.16666666666666666,0.020192740182529444,0.1314675283772274,0.014509880957977592,0.10258297860371424,0.08333333333333333,0.6666666666666666,0.1261904761904762,0.7142857142857143
falcon3_7b_instruct,arc_challenge,2,stratified,hidden_pca,hidden_pca_32,10.0,32,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.874,0.48824929971988795,0.03658231999594784,0.021858771070097358,0.08333333333333333,0.0,0.0,0.5,0.6,0.7440000000000001,0.46225252525252525,0.07607621661160678,0.0613526676857563,0.125,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.4,validation_auroc_locked,0.5690902618657938,0.9001415094339622,0.21387552477668756,0.7459189435909497,0.041666666666666664,0.22916666666666666,0.0,0.18124999999999936,0.0,0.20833333333333334,0.016136598700830486,0.16923858262157276,0.012862923251928362,0.13330813205871123,0.08333333333333333,0.6270833333333314,0.16666666666666666,0.7142857142857143
falcon3_7b_instruct,arc_challenge,2,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,0.1,32,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.8999999999999999,0.6392685144233131,0.03197066937891422,0.017247120453063737,0.08333333333333333,0.0,0.0,0.5,0.6,0.826,0.5360683760683761,0.052506651619301556,0.03778310269345107,0.08333333333333333,0.05555555555555555,0.041666666666666664,0.5,0.6,validation_auroc_locked,0.6878643071484358,0.9607490503323837,0.2794127468060395,0.8109920473871366,0.0,0.1875,0.0,0.1388888888888889,0.0,0.16666666666666666,0.009046411282232006,0.12149842826316098,0.004165207086079357,0.09046992465268848,0.25,0.7937499999999982,0.35714285714285715,1.0
falcon3_7b_instruct,arc_challenge,3,stratified,confidence_option,cheap,0.1,0,299,0.8361204013377926,250,49,179,60,60,10,primary_protocol_compatible,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.868,0.627161610319505,0.04175970937417327,0.027036160448322785,0.0625,0.05555555555555555,0.041666666666666664,0.5833333333333334,0.7,0.954,0.8458241758241757,0.022733130271460712,0.008009581345610231,0.0625,0.0,0.0,0.5833333333333334,0.7,validation_auroc_locked,0.8920870619946092,1.0,0.610576923076923,1.0,0.0,0.1151041666666662,0.0,0.042361111111110475,0.0,0.0,0.005170649379945269,0.04629243485328647,0.0,0.01896133320195784,0.3333333333333333,0.9166666666666666,0.5357692307692308,1.0
